row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-Com,Computers,CiteSeer,10shot,1,0.449,0.464,43.70552849769592,0,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.stdout.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.stderr.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.meta.json
HGL-Com,Computers,CiteSeer,10shot,5,0.442,0.458,44.02040505409241,4,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.stdout.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.stderr.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.meta.json
HGL-Com,Computers,CiteSeer,10shot,4,0.534,0.514,44.48579239845276,3,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.stdout.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.stderr.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.meta.json
HGL-Com,Computers,CiteSeer,10shot,3,0.503,0.486,44.55276322364807,2,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.stdout.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.stderr.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.meta.json
HGL-Com,Computers,CiteSeer,10shot,2,0.64,0.668,47.58645272254944,1,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.stdout.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.stderr.txt,./experiments/20251002-171708/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.meta.json
