row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-C,Cora,Cora,Public,1,0.8782,0.9004,47.66403007507324,0,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run1.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run1.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run1.meta.json
HGL-C,Cora,Cora,Public,2,0.8616,0.8856,48.065470933914185,1,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run2.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run2.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run2.meta.json
HGL-C,Cora,Cora,Public,4,0.8635,0.8819,48.897080183029175,3,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run4.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run4.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run4.meta.json
HGL-C,Cora,Cora,Public,5,0.8469,0.869,49.96670150756836,4,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run5.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run5.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run5.meta.json
HGL-C,Cora,Cora,Public,3,0.869,0.8801,50.96095371246338,2,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run3.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run3.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__public__run3.meta.json
HGL-C,Cora,Cora,5shot,1,0.724,0.74,25.76125454902649,0,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run1.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run1.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run1.meta.json
HGL-C,Cora,Cora,5shot,2,0.703,0.688,27.087185859680176,1,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run2.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run2.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run2.meta.json
HGL-C,Cora,Cora,5shot,4,0.728,0.688,28.735830307006836,3,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run4.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run4.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run4.meta.json
HGL-C,Cora,Cora,5shot,3,0.725,0.724,26.823643445968628,2,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run3.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run3.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run3.meta.json
HGL-C,Cora,Cora,5shot,5,0.718,0.702,28.03544855117798,4,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run5.stdout.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run5.stderr.txt,./experiments/20251001-200324/logs/HGL-C/Cora/HGL-C__test-Cora__few-5shot__run5.meta.json
