row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-Com,Computers,CiteSeer,10shot,2,0.67,0.692,44.328444480895996,1,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.stdout.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.stderr.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run2.meta.json
HGL-Com,Computers,CiteSeer,10shot,1,0.708,0.714,44.37964844703674,0,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.stdout.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.stderr.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run1.meta.json
HGL-Com,Computers,CiteSeer,10shot,5,0.709,0.71,45.54628109931946,4,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.stdout.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.stderr.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run5.meta.json
HGL-Com,Computers,CiteSeer,10shot,3,0.694,0.724,45.78243565559387,2,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.stdout.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.stderr.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run3.meta.json
HGL-Com,Computers,CiteSeer,10shot,4,0.661,0.706,46.31947422027588,3,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.stdout.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.stderr.txt,./experiments/20251002-175602/logs/HGL-Com/CiteSeer/HGL-Com__test-CiteSeer__few-10shot__run4.meta.json
