test_dataset,Cora,Cora,Cora,Photo,Photo,Photo
few_label,10shot,5shot,Public,10shot,5shot,Public
row_label,,,,,,
HGL-CS,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000,0.0000 ± 0.0000
HGL-P,0.7208 ± 0.0108,0.6990 ± 0.0199,0.8686 ± 0.0140,0.9091 ± 0.0046,0.8765 ± 0.0039,0.9175 ± 0.0046
HGL-PM,0.7398 ± 0.0123,0.7090 ± 0.0167,0.8804 ± 0.0092,0.8949 ± 0.0135,0.8737 ± 0.0041,0.9392 ± 0.0039
