row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-PM,PubMed,Cora,Public,4,0.8911,0.8727,62.18508791923523,3,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run4.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run4.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run4.meta.json
HGL-PM,PubMed,Cora,Public,1,0.8893,0.8801,62.6579008102417,0,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run1.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run1.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run1.meta.json
HGL-PM,PubMed,Cora,Public,3,0.8745,0.8782,64.12548041343689,2,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run3.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run3.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run3.meta.json
HGL-PM,PubMed,Cora,Public,5,0.8708,0.8801,64.65441942214966,4,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run5.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run5.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run5.meta.json
HGL-PM,PubMed,Cora,Public,2,0.8764,0.8635,65.64214730262756,1,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run2.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run2.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__public__run2.meta.json
HGL-PM,PubMed,Cora,5shot,4,0.682,0.674,29.267313957214355,3,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run4.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run4.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run4.meta.json
HGL-PM,PubMed,Cora,5shot,1,0.711,0.708,34.096375942230225,0,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run1.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run1.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run1.meta.json
HGL-PM,PubMed,Cora,5shot,3,0.727,0.706,37.045429706573486,2,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run3.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run3.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run3.meta.json
HGL-PM,PubMed,Cora,5shot,5,0.717,0.698,37.3791606426239,4,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run5.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run5.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run5.meta.json
HGL-PM,PubMed,Cora,5shot,2,0.708,0.692,36.48985433578491,1,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run2.stdout.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run2.stderr.txt,./experiments/20251001-184000/logs/HGL-PM/Cora/HGL-PM__test-Cora__few-5shot__run2.meta.json
