Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2314 cls=2.2753 smmd=6.8810 ct=7.6142 rec=1.3851 | train/val/test=0.370/0.377/0.390 | c=1.498601
[Epoch 0001] loss=11.3933 cls=1.9169 smmd=5.7587 ct=7.6144 rec=1.3895 | train/val/test=0.370/0.377/0.390 | c=1.498601
[Epoch 0002] loss=11.0667 cls=2.1017 smmd=5.0545 ct=7.6106 rec=1.4334 | train/val/test=0.021/0.027/0.022 | c=1.498601
[Epoch 0003] loss=20.8131 cls=6.5460 smmd=5.7306 ct=8.5520 rec=1.4005 | train/val/test=0.158/0.159/0.152 | c=1.498601
[Epoch 0004] loss=15.1368 cls=3.5463 smmd=6.0379 ct=8.5934 rec=1.4376 | train/val/test=0.370/0.377/0.390 | c=1.498601
[Epoch 0005] loss=13.1150 cls=2.5046 smmd=6.1070 ct=8.5683 rec=1.4253 | train/val/test=0.370/0.377/0.390 | c=1.498601
[Epoch 0006] loss=13.1466 cls=2.5784 smmd=5.9817 ct=8.5551 rec=1.4852 | train/val/test=0.104/0.103/0.100 | c=1.498601
[Epoch 0007] loss=14.5814 cls=3.4623 smmd=5.6591 ct=8.5426 rec=1.4458 | train/val/test=0.417/0.425/0.441 | c=1.498601
[Epoch 0008] loss=11.1740 cls=2.0324 smmd=5.1351 ct=8.4922 rec=1.3786 | train/val/test=0.161/0.147/0.148 | c=1.498601
[Epoch 0009] loss=11.8122 cls=2.5666 smmd=4.7183 ct=8.3963 rec=1.4075 | train/val/test=0.158/0.158/0.153 | c=1.498601
[Epoch 0010] loss=11.7283 cls=2.7807 smmd=4.2260 ct=8.3073 rec=1.3967 | train/val/test=0.369/0.375/0.390 | c=1.498601
[Epoch 0011] loss=10.1609 cls=2.3861 smmd=3.4585 ct=8.2569 rec=1.3940 | train/val/test=0.418/0.426/0.443 | c=1.498601
[Epoch 0012] loss=7.8785 cls=1.6567 smmd=2.6631 ct=8.1583 rec=1.3519 | train/val/test=0.209/0.209/0.213 | c=1.498601
[Epoch 0013] loss=9.7342 cls=2.6921 smmd=2.4420 ct=8.1442 rec=1.3949 | train/val/test=0.496/0.503/0.514 | c=1.498601
[Epoch 0014] loss=7.2126 cls=1.6110 smmd=2.1125 ct=8.0440 rec=1.3468 | train/val/test=0.392/0.398/0.413 | c=1.498601
[Epoch 0015] loss=7.6952 cls=1.8390 smmd=2.1403 ct=8.0082 rec=1.3766 | train/val/test=0.386/0.397/0.413 | c=1.498601
[Epoch 0016] loss=7.4756 cls=1.7098 smmd=2.1884 ct=7.9898 rec=1.3490 | train/val/test=0.532/0.539/0.554 | c=1.498601
[Epoch 0017] loss=7.0225 cls=1.5503 smmd=2.0545 ct=8.0014 rec=1.3353 | train/val/test=0.584/0.588/0.604 | c=1.498601
[Epoch 0018] loss=6.2311 cls=1.3256 smmd=1.7193 ct=7.9743 rec=1.3285 | train/val/test=0.592/0.589/0.598 | c=1.498601
[Epoch 0019] loss=5.8907 cls=1.2277 smmd=1.5639 ct=8.0372 rec=1.3191 | train/val/test=0.582/0.582/0.602 | c=1.498601
[Epoch 0020] loss=5.7816 cls=1.1898 smmd=1.5225 ct=8.0899 rec=1.3078 | train/val/test=0.656/0.654/0.667 | c=1.498601
[Epoch 0021] loss=5.4644 cls=1.0794 smmd=1.4385 ct=8.0414 rec=1.2939 | train/val/test=0.614/0.613/0.630 | c=1.498601
