Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.4059 cls=2.3604 smmd=6.8856 ct=7.6121 rec=1.3851 | train/val/test=0.375/0.375/0.376 | c=0.998967
[Epoch 0001] loss=11.9128 cls=1.9708 smmd=6.1711 ct=7.6125 rec=1.3876 | train/val/test=0.375/0.375/0.376 | c=0.998967
[Epoch 0002] loss=16.1116 cls=4.1970 smmd=5.9058 ct=7.6124 rec=1.4467 | train/val/test=0.101/0.109/0.107 | c=0.998967
[Epoch 0003] loss=11.9316 cls=2.2619 smmd=5.6051 ct=7.6094 rec=1.4046 | train/val/test=0.160/0.152/0.159 | c=0.998967
[Epoch 0004] loss=16.0907 cls=4.2632 smmd=5.5726 ct=8.5536 rec=1.4048 | train/val/test=0.021/0.023/0.026 | c=0.998967
[Epoch 0005] loss=17.6261 cls=5.1119 smmd=5.4002 ct=8.6075 rec=1.4028 | train/val/test=0.158/0.150/0.161 | c=0.998967
[Epoch 0006] loss=14.1619 cls=3.4570 smmd=5.2457 ct=8.5279 rec=1.4831 | train/val/test=0.375/0.375/0.376 | c=0.998967
[Epoch 0007] loss=14.5650 cls=3.6681 smmd=5.2470 ct=8.3494 rec=1.5598 | train/val/test=0.158/0.148/0.157 | c=0.998967
[Epoch 0008] loss=17.4727 cls=5.0857 smmd=5.3467 ct=8.1847 rec=1.5879 | train/val/test=0.061/0.065/0.050 | c=0.998967
[Epoch 0009] loss=15.0528 cls=3.8822 smmd=5.3534 ct=8.1697 rec=1.5052 | train/val/test=0.251/0.260/0.263 | c=0.998967
[Epoch 0010] loss=12.7382 cls=2.8391 smmd=5.1416 ct=8.1959 rec=1.3958 | train/val/test=0.446/0.446/0.451 | c=0.998967
[Epoch 0011] loss=11.3912 cls=2.3600 smmd=4.7547 ct=8.1891 rec=1.3937 | train/val/test=0.166/0.157/0.163 | c=0.998967
[Epoch 0012] loss=10.1376 cls=1.9473 smmd=4.3362 ct=8.1497 rec=1.3849 | train/val/test=0.299/0.284/0.298 | c=0.998967
[Epoch 0013] loss=9.9331 cls=2.1092 smmd=3.8007 ct=8.1890 rec=1.3812 | train/val/test=0.455/0.456/0.458 | c=0.998967
[Epoch 0014] loss=10.5570 cls=2.7408 smmd=3.1183 ct=8.3660 rec=1.4192 | train/val/test=0.541/0.536/0.533 | c=0.998967
[Epoch 0015] loss=7.3170 cls=1.4691 smmd=2.4525 ct=8.3038 rec=1.3280 | train/val/test=0.150/0.141/0.145 | c=0.998967
[Epoch 0016] loss=11.6918 cls=3.7462 smmd=2.3018 ct=8.1063 rec=1.3814 | train/val/test=0.439/0.447/0.422 | c=0.998967
[Epoch 0017] loss=9.4939 cls=2.5157 smmd=2.5279 ct=8.3597 rec=1.3130 | train/val/test=0.405/0.400/0.400 | c=0.998967
[Epoch 0018] loss=11.4214 cls=3.1894 smmd=3.0457 ct=8.4746 rec=1.5092 | train/val/test=0.452/0.453/0.459 | c=0.998967
[Epoch 0019] loss=9.7610 cls=2.2322 smmd=3.3130 ct=8.5305 rec=1.3875 | train/val/test=0.342/0.334/0.349 | c=0.998967
[Epoch 0020] loss=9.5105 cls=2.0343 smmd=3.4608 ct=8.5482 rec=1.3569 | train/val/test=0.253/0.242/0.250 | c=0.998967
[Epoch 0021] loss=10.6903 cls=2.6757 smmd=3.3548 ct=8.5269 rec=1.3937 | train/val/test=0.470/0.463/0.469 | c=0.998967
[Epoch 0022] loss=8.7230 cls=1.9123 smmd=2.9369 ct=8.4622 rec=1.3455 | train/val/test=0.594/0.590/0.601 | c=0.998967
[Epoch 0023] loss=7.4939 cls=1.5281 smmd=2.5110 ct=8.3467 rec=1.2867 | train/val/test=0.497/0.498/0.495 | c=0.998967
[Epoch 0024] loss=7.6343 cls=1.7512 smmd=2.2325 ct=8.1327 rec=1.3643 | train/val/test=0.592/0.581/0.569 | c=0.998967
[Epoch 0025] loss=6.1930 cls=1.2280 smmd=1.9103 ct=7.8567 rec=1.2772 | train/val/test=0.590/0.588/0.582 | c=0.998967
[Epoch 0026] loss=6.0515 cls=1.2917 smmd=1.6624 ct=7.7823 rec=1.2465 | train/val/test=0.596/0.590/0.576 | c=0.998967
[Epoch 0027] loss=5.9843 cls=1.2861 smmd=1.5797 ct=7.8964 rec=1.2663 | train/val/test=0.712/0.712/0.698 | c=0.998967
[Epoch 0028] loss=5.4759 cls=1.0294 smmd=1.5740 ct=7.9704 rec=1.2457 | train/val/test=0.655/0.663/0.664 | c=0.998967
[Epoch 0029] loss=5.3429 cls=0.9578 smmd=1.5804 ct=7.9984 rec=1.2360 | train/val/test=0.640/0.645/0.654 | c=0.998967
[Epoch 0030] loss=5.4507 cls=1.0066 smmd=1.5935 ct=7.9664 rec=1.2534 | train/val/test=0.672/0.680/0.686 | c=0.998967
[Epoch 0031] loss=5.2545 cls=0.9459 smmd=1.5335 ct=7.8982 rec=1.2475 | train/val/test=0.690/0.697/0.697 | c=0.998967
[Epoch 0032] loss=4.9621 cls=0.8471 smmd=1.4493 ct=7.8542 rec=1.2388 | train/val/test=0.733/0.746/0.726 | c=0.998967
[Epoch 0033] loss=4.6956 cls=0.7570 smmd=1.3662 ct=7.8350 rec=1.2420 | train/val/test=0.713/0.708/0.710 | c=0.998967
[Epoch 0034] loss=4.8279 cls=0.8420 smmd=1.3308 ct=7.8060 rec=1.2592 | train/val/test=0.759/0.765/0.744 | c=0.998967
[Epoch 0035] loss=4.5384 cls=0.7336 smmd=1.2602 ct=7.8179 rec=1.2379 | train/val/test=0.777/0.778/0.766 | c=0.998967
[Epoch 0036] loss=4.3596 cls=0.6540 smmd=1.2425 ct=7.8218 rec=1.2239 | train/val/test=0.770/0.772/0.769 | c=0.998967
[Epoch 0037] loss=4.3724 cls=0.6612 smmd=1.2416 ct=7.8171 rec=1.2250 | train/val/test=0.780/0.785/0.784 | c=0.998967
