Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.3285 cls=2.3242 smmd=6.8806 ct=7.6120 rec=1.3851 | train/val/test=0.378/0.375/0.368 | c=0.998967
[Epoch 0001] loss=11.6584 cls=1.9311 smmd=5.9952 ct=7.6122 rec=1.3932 | train/val/test=0.059/0.058/0.064 | c=0.998967
[Epoch 0002] loss=21.8334 cls=7.2234 smmd=5.5857 ct=7.6116 rec=1.3930 | train/val/test=0.378/0.375/0.368 | c=0.998967
[Epoch 0003] loss=18.3796 cls=5.2429 smmd=6.0478 ct=7.6119 rec=1.6188 | train/val/test=0.378/0.375/0.368 | c=0.998967
[Epoch 0004] loss=14.6392 cls=3.2247 smmd=6.2690 ct=8.1585 rec=1.4449 | train/val/test=0.154/0.160/0.157 | c=0.998967
[Epoch 0005] loss=14.6876 cls=3.1416 smmd=6.4423 ct=8.3881 rec=1.4221 | train/val/test=0.059/0.058/0.064 | c=0.998967
[Epoch 0006] loss=15.8054 cls=3.6960 smmd=6.4397 ct=8.4677 rec=1.4006 | train/val/test=0.032/0.030/0.031 | c=0.998967
[Epoch 0007] loss=13.7451 cls=2.7344 smmd=6.3066 ct=8.4624 rec=1.3864 | train/val/test=0.158/0.155/0.154 | c=0.998967
[Epoch 0008] loss=12.8363 cls=2.3657 smmd=6.1441 ct=8.3851 rec=1.4190 | train/val/test=0.378/0.375/0.368 | c=0.998967
[Epoch 0009] loss=13.2749 cls=2.6732 smmd=5.9636 ct=8.3498 rec=1.4744 | train/val/test=0.378/0.375/0.368 | c=0.998967
[Epoch 0010] loss=13.1619 cls=2.7679 smmd=5.6817 ct=8.2946 rec=1.4275 | train/val/test=0.154/0.160/0.157 | c=0.998967
[Epoch 0011] loss=12.9636 cls=2.8775 smmd=5.2779 ct=8.2368 rec=1.4168 | train/val/test=0.214/0.213/0.206 | c=0.998967
[Epoch 0012] loss=10.9142 cls=2.1463 smmd=4.6854 ct=8.2743 rec=1.4068 | train/val/test=0.377/0.375/0.368 | c=0.998967
[Epoch 0013] loss=10.1724 cls=2.0624 smmd=4.0975 ct=8.3603 rec=1.3906 | train/val/test=0.206/0.200/0.204 | c=0.998967
[Epoch 0014] loss=10.3118 cls=2.3888 smmd=3.6098 ct=8.2398 rec=1.3825 | train/val/test=0.445/0.447/0.442 | c=0.998967
[Epoch 0015] loss=8.2759 cls=1.6849 smmd=2.9882 ct=8.2076 rec=1.3821 | train/val/test=0.456/0.457/0.452 | c=0.998967
[Epoch 0016] loss=8.0614 cls=1.8008 smmd=2.5510 ct=8.1620 rec=1.3815 | train/val/test=0.284/0.289/0.300 | c=0.998967
[Epoch 0017] loss=7.9946 cls=1.9583 smmd=2.1959 ct=8.0131 rec=1.3975 | train/val/test=0.342/0.341/0.330 | c=0.998967
[Epoch 0018] loss=8.8742 cls=2.3497 smmd=2.2385 ct=8.3138 rec=1.3671 | train/val/test=0.462/0.459/0.452 | c=0.998967
[Epoch 0019] loss=7.1821 cls=1.5152 smmd=2.2564 ct=8.1186 rec=1.3581 | train/val/test=0.635/0.635/0.629 | c=0.998967
[Epoch 0020] loss=6.9658 cls=1.3151 smmd=2.4363 ct=8.1949 rec=1.3015 | train/val/test=0.518/0.511/0.514 | c=0.998967
[Epoch 0021] loss=7.2605 cls=1.4496 smmd=2.4517 ct=8.2340 rec=1.3141 | train/val/test=0.627/0.622/0.624 | c=0.998967
[Epoch 0022] loss=6.6561 cls=1.2997 smmd=2.1743 ct=8.1304 rec=1.2817 | train/val/test=0.594/0.600/0.591 | c=0.998967
[Epoch 0023] loss=6.0547 cls=1.1811 smmd=1.8474 ct=7.9611 rec=1.2649 | train/val/test=0.668/0.675/0.666 | c=0.998967
[Epoch 0024] loss=5.6316 cls=1.0826 smmd=1.6255 ct=7.9418 rec=1.2635 | train/val/test=0.682/0.679/0.681 | c=0.998967
[Epoch 0025] loss=5.3990 cls=1.0140 smmd=1.5167 ct=8.0125 rec=1.2590 | train/val/test=0.653/0.654/0.651 | c=0.998967
[Epoch 0026] loss=5.3907 cls=1.0146 smmd=1.5034 ct=8.0373 rec=1.2536 | train/val/test=0.694/0.700/0.688 | c=0.998967
[Epoch 0027] loss=5.2379 cls=0.9435 smmd=1.4960 ct=8.0247 rec=1.2502 | train/val/test=0.718/0.719/0.718 | c=0.998967
[Epoch 0028] loss=5.0890 cls=0.9170 smmd=1.4143 ct=7.9587 rec=1.2451 | train/val/test=0.725/0.723/0.724 | c=0.998967
[Epoch 0029] loss=4.8324 cls=0.8671 smmd=1.2776 ct=7.8671 rec=1.2366 | train/val/test=0.740/0.740/0.739 | c=0.998967
[Epoch 0030] loss=4.6540 cls=0.8224 smmd=1.1910 ct=7.8589 rec=1.2320 | train/val/test=0.730/0.732/0.728 | c=0.998967
[Epoch 0031] loss=4.5357 cls=0.7858 smmd=1.1468 ct=7.8501 rec=1.2366 | train/val/test=0.745/0.741/0.740 | c=0.998967
[Epoch 0032] loss=4.4024 cls=0.7574 smmd=1.0913 ct=7.7537 rec=1.2283 | train/val/test=0.753/0.751/0.747 | c=0.998967
[Epoch 0033] loss=4.3152 cls=0.7206 smmd=1.0777 ct=7.7496 rec=1.2314 | train/val/test=0.782/0.779/0.779 | c=0.998967
[Epoch 0034] loss=4.2566 cls=0.7058 smmd=1.0385 ct=7.7963 rec=1.2363 | train/val/test=0.766/0.758/0.760 | c=0.998967
[Epoch 0035] loss=4.1368 cls=0.6956 smmd=0.9457 ct=7.7734 rec=1.2266 | train/val/test=0.782/0.775/0.783 | c=0.998967
[Epoch 0036] loss=4.0270 cls=0.6620 smmd=0.8943 ct=7.8128 rec=1.2307 | train/val/test=0.789/0.781/0.787 | c=0.998967
[Epoch 0037] loss=3.9603 cls=0.6470 smmd=0.8589 ct=7.8074 rec=1.2291 | train/val/test=0.770/0.761/0.772 | c=0.998967
[Epoch 0038] loss=3.9136 cls=0.6474 smmd=0.8227 ct=7.7595 rec=1.2212 | train/val/test=0.793/0.782/0.793 | c=0.998967
[Epoch 0039] loss=3.9677 cls=0.6685 smmd=0.8192 ct=7.8105 rec=1.2467 | train/val/test=0.748/0.743/0.750 | c=0.998967
[Epoch 0040] loss=4.0422 cls=0.7065 smmd=0.8314 ct=7.7655 rec=1.2230 | train/val/test=0.807/0.806/0.808 | c=0.998967
[Epoch 0041] loss=3.8425 cls=0.6191 smmd=0.7894 ct=7.8293 rec=1.2450 | train/val/test=0.797/0.785/0.791 | c=0.998967
[Epoch 0042] loss=3.7947 cls=0.6329 smmd=0.7240 ct=7.7945 rec=1.2303 | train/val/test=0.838/0.825/0.834 | c=0.998967
[Epoch 0043] loss=3.5925 cls=0.5448 smmd=0.6948 ct=7.8105 rec=1.2298 | train/val/test=0.826/0.822/0.827 | c=0.998967
[Epoch 0044] loss=3.6240 cls=0.5585 smmd=0.7085 ct=7.7634 rec=1.2291 | train/val/test=0.796/0.794/0.794 | c=0.998967
[Epoch 0045] loss=3.5701 cls=0.5668 smmd=0.6530 ct=7.7023 rec=1.2154 | train/val/test=0.814/0.813/0.815 | c=0.998967
[Epoch 0046] loss=3.6482 cls=0.6035 smmd=0.6296 ct=7.8125 rec=1.2452 | train/val/test=0.788/0.783/0.794 | c=0.998967
[Epoch 0047] loss=3.6536 cls=0.5944 smmd=0.6596 ct=7.8030 rec=1.2232 | train/val/test=0.828/0.823/0.824 | c=0.998967
[Epoch 0048] loss=3.5216 cls=0.5421 smmd=0.6302 ct=7.8149 rec=1.2214 | train/val/test=0.855/0.848/0.854 | c=0.998967
[Epoch 0049] loss=3.3631 cls=0.5028 smmd=0.5529 ct=7.7974 rec=1.2255 | train/val/test=0.824/0.815/0.827 | c=0.998967
[Epoch 0050] loss=3.5012 cls=0.5710 smmd=0.5618 ct=7.7689 rec=1.2182 | train/val/test=0.848/0.841/0.851 | c=0.998967
[Epoch 0051] loss=3.2373 cls=0.4664 smmd=0.5176 ct=7.7229 rec=1.2120 | train/val/test=0.835/0.839/0.831 | c=0.998967
[Epoch 0052] loss=3.4482 cls=0.5549 smmd=0.5350 ct=7.7807 rec=1.2361 | train/val/test=0.808/0.793/0.799 | c=0.998967
[Epoch 0053] loss=3.6421 cls=0.6526 smmd=0.5281 ct=7.8231 rec=1.2208 | train/val/test=0.840/0.833/0.844 | c=0.998967
