Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.3407 cls=2.3275 smmd=6.8867 ct=7.6098 rec=1.3851 | train/val/test=0.059/0.061/0.059 | c=0.998967
[Epoch 0001] loss=13.3979 cls=2.8401 smmd=5.9185 ct=7.6100 rec=1.3863 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0002] loss=15.5528 cls=3.6426 smmd=6.4649 ct=7.6101 rec=1.4033 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0003] loss=17.0360 cls=4.2178 smmd=6.7782 ct=7.6101 rec=1.5012 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0004] loss=12.5611 cls=1.9064 smmd=6.9472 ct=7.6101 rec=1.3955 | train/val/test=0.059/0.061/0.059 | c=0.998967
[Epoch 0005] loss=19.3654 cls=5.2612 smmd=7.0416 ct=7.6101 rec=1.3969 | train/val/test=0.157/0.159/0.153 | c=0.998967
[Epoch 0006] loss=15.7774 cls=3.4675 smmd=7.0423 ct=7.6100 rec=1.3906 | train/val/test=0.156/0.159/0.151 | c=0.998967
[Epoch 0007] loss=14.5771 cls=2.8703 smmd=7.0312 ct=7.6099 rec=1.4166 | train/val/test=0.103/0.103/0.103 | c=0.998967
[Epoch 0008] loss=15.7075 cls=3.4435 smmd=7.0109 ct=7.6099 rec=1.4375 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0009] loss=17.3829 cls=4.2885 smmd=6.9657 ct=7.6097 rec=1.5911 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0010] loss=16.7264 cls=4.0024 smmd=6.8805 ct=7.6095 rec=1.5961 | train/val/test=0.377/0.363/0.382 | c=0.998967
[Epoch 0011] loss=13.9375 cls=2.6875 smmd=6.7499 ct=7.6092 rec=1.4534 | train/val/test=0.157/0.158/0.153 | c=0.998967
[Epoch 0012] loss=13.8566 cls=2.7394 smmd=6.5762 ct=7.6086 rec=1.3994 | train/val/test=0.163/0.169/0.157 | c=0.998967
[Epoch 0013] loss=13.7310 cls=2.7986 smmd=6.3353 ct=7.6078 rec=1.3848 | train/val/test=0.029/0.032/0.030 | c=0.998967
[Epoch 0014] loss=13.7008 cls=2.9195 smmd=5.9730 ct=8.0605 rec=1.3836 | train/val/test=0.286/0.279/0.273 | c=0.998967
[Epoch 0015] loss=11.4587 cls=2.0536 smmd=5.4596 ct=8.0797 rec=1.3793 | train/val/test=0.284/0.271/0.275 | c=0.998967
[Epoch 0016] loss=10.9321 cls=2.0392 smmd=4.9489 ct=8.1291 rec=1.3953 | train/val/test=0.376/0.362/0.381 | c=0.998967
[Epoch 0017] loss=10.8622 cls=2.2445 smmd=4.4492 ct=8.1898 rec=1.4303 | train/val/test=0.360/0.347/0.358 | c=0.998967
[Epoch 0018] loss=9.6858 cls=1.9942 smmd=3.7667 ct=8.2471 rec=1.4067 | train/val/test=0.217/0.226/0.213 | c=0.998967
[Epoch 0019] loss=9.0542 cls=2.0348 smmd=3.0652 ct=8.2411 rec=1.3561 | train/val/test=0.372/0.383/0.371 | c=0.998967
[Epoch 0020] loss=7.7023 cls=1.7205 smmd=2.3656 ct=8.1275 rec=1.3510 | train/val/test=0.473/0.461/0.474 | c=0.998967
[Epoch 0021] loss=7.9241 cls=1.8878 smmd=2.2925 ct=7.9232 rec=1.3571 | train/val/test=0.616/0.602/0.610 | c=0.998967
[Epoch 0022] loss=6.7235 cls=1.2905 smmd=2.2520 ct=8.1159 rec=1.3360 | train/val/test=0.538/0.549/0.529 | c=0.998967
[Epoch 0023] loss=6.8178 cls=1.3794 smmd=2.1473 ct=8.2158 rec=1.3422 | train/val/test=0.530/0.517/0.530 | c=0.998967
[Epoch 0024] loss=6.5527 cls=1.3465 smmd=1.9919 ct=8.0130 rec=1.3254 | train/val/test=0.665/0.671/0.656 | c=0.998967
[Epoch 0025] loss=6.0653 cls=1.1423 smmd=1.9287 ct=7.9657 rec=1.2939 | train/val/test=0.693/0.703/0.693 | c=0.998967
[Epoch 0026] loss=5.8196 cls=1.0903 smmd=1.7864 ct=7.9894 rec=1.2738 | train/val/test=0.627/0.624/0.626 | c=0.998967
[Epoch 0027] loss=5.4997 cls=1.0290 smmd=1.5829 ct=8.0082 rec=1.2863 | train/val/test=0.667/0.656/0.665 | c=0.998967
[Epoch 0028] loss=5.1366 cls=0.9089 smmd=1.4573 ct=8.0500 rec=1.2580 | train/val/test=0.669/0.668/0.667 | c=0.998967
[Epoch 0029] loss=5.3281 cls=1.0227 smmd=1.4291 ct=8.0203 rec=1.2478 | train/val/test=0.688/0.672/0.682 | c=0.998967
[Epoch 0030] loss=4.8500 cls=0.8642 smmd=1.3099 ct=7.8261 rec=1.2325 | train/val/test=0.660/0.658/0.653 | c=0.998967
