Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.3236 cls=2.3211 smmd=6.8806 ct=7.6188 rec=1.3851 | train/val/test=0.105/0.100/0.099 | c=0.998967
[Epoch 0001] loss=12.2078 cls=2.2652 smmd=5.8766 ct=7.6191 rec=1.3853 | train/val/test=0.373/0.378/0.380 | c=0.998967
[Epoch 0002] loss=16.8863 cls=4.3767 smmd=6.3267 ct=7.6192 rec=1.4114 | train/val/test=0.373/0.378/0.380 | c=0.998967
[Epoch 0003] loss=14.8711 cls=3.2356 smmd=6.5655 ct=7.6192 rec=1.5533 | train/val/test=0.105/0.100/0.099 | c=0.998967
[Epoch 0004] loss=17.4676 cls=4.3598 smmd=6.7867 ct=8.3644 rec=1.4417 | train/val/test=0.034/0.028/0.027 | c=0.998967
[Epoch 0005] loss=17.5401 cls=4.4043 smmd=6.7758 ct=8.3900 rec=1.3882 | train/val/test=0.154/0.153/0.164 | c=0.998967
[Epoch 0006] loss=17.2433 cls=4.2913 smmd=6.6911 ct=8.3458 rec=1.5024 | train/val/test=0.153/0.164/0.160 | c=0.998967
[Epoch 0007] loss=16.0741 cls=3.7835 smmd=6.5476 ct=8.3033 rec=1.4938 | train/val/test=0.373/0.378/0.380 | c=0.998967
[Epoch 0008] loss=14.0700 cls=2.8808 smmd=6.3690 ct=8.2317 rec=1.4651 | train/val/test=0.373/0.378/0.380 | c=0.998967
[Epoch 0009] loss=14.1988 cls=3.0593 smmd=6.1491 ct=8.1902 rec=1.4647 | train/val/test=0.105/0.100/0.099 | c=0.998967
[Epoch 0010] loss=12.8039 cls=2.4938 smmd=5.9021 ct=8.1736 rec=1.3966 | train/val/test=0.108/0.103/0.102 | c=0.998967
[Epoch 0011] loss=13.1145 cls=2.8598 smmd=5.4816 ct=8.1751 rec=1.3918 | train/val/test=0.157/0.152/0.166 | c=0.998967
[Epoch 0012] loss=10.6948 cls=2.0216 smmd=4.7391 ct=8.1810 rec=1.3814 | train/val/test=0.373/0.378/0.380 | c=0.998967
[Epoch 0013] loss=10.8286 cls=2.5051 smmd=3.8838 ct=8.1934 rec=1.4797 | train/val/test=0.366/0.373/0.374 | c=0.998967
[Epoch 0014] loss=8.8407 cls=1.9676 smmd=2.9884 ct=8.1931 rec=1.3921 | train/val/test=0.203/0.199/0.202 | c=0.998967
[Epoch 0015] loss=9.2489 cls=2.3298 smmd=2.6538 ct=8.3031 rec=1.3748 | train/val/test=0.144/0.145/0.137 | c=0.998967
[Epoch 0016] loss=8.6438 cls=2.1477 smmd=2.3992 ct=8.3702 rec=1.3751 | train/val/test=0.462/0.462/0.464 | c=0.998967
[Epoch 0017] loss=7.9299 cls=1.8534 smmd=2.3128 ct=8.1773 rec=1.3741 | train/val/test=0.495/0.501/0.509 | c=0.998967
[Epoch 0018] loss=6.9948 cls=1.4061 smmd=2.3204 ct=7.9636 rec=1.3477 | train/val/test=0.228/0.239/0.247 | c=0.998967
[Epoch 0019] loss=7.8391 cls=1.8137 smmd=2.3416 ct=7.9627 rec=1.3877 | train/val/test=0.487/0.494/0.504 | c=0.998967
[Epoch 0020] loss=6.6738 cls=1.3977 smmd=2.0463 ct=7.8201 rec=1.3409 | train/val/test=0.514/0.511/0.527 | c=0.998967
[Epoch 0021] loss=6.1746 cls=1.2848 smmd=1.7734 ct=7.8434 rec=1.3150 | train/val/test=0.627/0.626/0.642 | c=0.998967
[Epoch 0022] loss=6.0830 cls=1.3054 smmd=1.6288 ct=7.9228 rec=1.2942 | train/val/test=0.626/0.629/0.637 | c=0.998967
[Epoch 0023] loss=5.6927 cls=1.1488 smmd=1.5569 ct=7.9132 rec=1.2779 | train/val/test=0.646/0.647/0.658 | c=0.998967
[Epoch 0024] loss=5.7470 cls=1.1843 smmd=1.5403 ct=7.9120 rec=1.2784 | train/val/test=0.635/0.639/0.644 | c=0.998967
[Epoch 0025] loss=5.3298 cls=1.0502 smmd=1.4052 ct=7.8403 rec=1.2811 | train/val/test=0.648/0.650/0.654 | c=0.998967
[Epoch 0026] loss=5.2686 cls=1.0452 smmd=1.3536 ct=7.8564 rec=1.2673 | train/val/test=0.707/0.704/0.712 | c=0.998967
[Epoch 0027] loss=4.9892 cls=0.9088 smmd=1.3443 ct=7.8757 rec=1.2611 | train/val/test=0.656/0.657/0.669 | c=0.998967
[Epoch 0028] loss=4.8658 cls=0.8871 smmd=1.2729 ct=7.8361 rec=1.2575 | train/val/test=0.713/0.713/0.712 | c=0.998967
[Epoch 0029] loss=4.7418 cls=0.8836 smmd=1.1653 ct=7.7919 rec=1.2549 | train/val/test=0.744/0.748/0.749 | c=0.998967
[Epoch 0030] loss=4.6295 cls=0.8648 smmd=1.0932 ct=7.7910 rec=1.2427 | train/val/test=0.754/0.754/0.759 | c=0.998967
[Epoch 0031] loss=4.4666 cls=0.8081 smmd=1.0446 ct=7.7802 rec=1.2481 | train/val/test=0.757/0.754/0.760 | c=0.998967
[Epoch 0032] loss=4.2846 cls=0.7291 smmd=1.0261 ct=7.7537 rec=1.2473 | train/val/test=0.764/0.762/0.767 | c=0.998967
[Epoch 0033] loss=4.2887 cls=0.7267 smmd=1.0323 ct=7.7682 rec=1.2471 | train/val/test=0.780/0.779/0.782 | c=0.998967
[Epoch 0034] loss=4.1212 cls=0.6783 smmd=0.9647 ct=7.7646 rec=1.2354 | train/val/test=0.765/0.770/0.770 | c=0.998967
[Epoch 0035] loss=4.1546 cls=0.7102 smmd=0.9299 ct=7.7804 rec=1.2406 | train/val/test=0.772/0.773/0.767 | c=0.998967
[Epoch 0036] loss=4.0297 cls=0.6837 smmd=0.8690 ct=7.7315 rec=1.2346 | train/val/test=0.806/0.810/0.805 | c=0.998967
[Epoch 0037] loss=3.8436 cls=0.6068 smmd=0.8396 ct=7.7190 rec=1.2334 | train/val/test=0.800/0.797/0.803 | c=0.998967
[Epoch 0038] loss=3.9275 cls=0.6355 smmd=0.8591 ct=7.7395 rec=1.2473 | train/val/test=0.801/0.805/0.802 | c=0.998967
[Epoch 0039] loss=3.7429 cls=0.5800 smmd=0.7962 ct=7.7029 rec=1.2303 | train/val/test=0.800/0.805/0.794 | c=0.998967
[Epoch 0040] loss=3.7398 cls=0.5863 smmd=0.7775 ct=7.7214 rec=1.2271 | train/val/test=0.810/0.808/0.814 | c=0.998967
[Epoch 0041] loss=3.6734 cls=0.5751 smmd=0.7314 ct=7.7306 rec=1.2284 | train/val/test=0.828/0.823/0.822 | c=0.998967
[Epoch 0042] loss=3.6194 cls=0.5594 smmd=0.7104 ct=7.7275 rec=1.2230 | train/val/test=0.827/0.827/0.824 | c=0.998967
[Epoch 0043] loss=3.5122 cls=0.5173 smmd=0.6929 ct=7.7023 rec=1.2217 | train/val/test=0.809/0.809/0.807 | c=0.998967
[Epoch 0044] loss=3.5520 cls=0.5378 smmd=0.6907 ct=7.7023 rec=1.2261 | train/val/test=0.828/0.824/0.824 | c=0.998967
[Epoch 0045] loss=3.4700 cls=0.5186 smmd=0.6464 ct=7.7165 rec=1.2160 | train/val/test=0.845/0.840/0.840 | c=0.998967
[Epoch 0046] loss=3.3821 cls=0.4994 smmd=0.5969 ct=7.7181 rec=1.2139 | train/val/test=0.818/0.819/0.824 | c=0.998967
[Epoch 0047] loss=3.4225 cls=0.5247 smmd=0.5857 ct=7.7128 rec=1.2247 | train/val/test=0.828/0.826/0.820 | c=0.998967
[Epoch 0048] loss=3.4345 cls=0.5250 smmd=0.5961 ct=7.7250 rec=1.2172 | train/val/test=0.847/0.838/0.842 | c=0.998967
[Epoch 0049] loss=3.2437 cls=0.4623 smmd=0.5380 ct=7.6953 rec=1.2100 | train/val/test=0.820/0.813/0.812 | c=0.998967
[Epoch 0050] loss=3.4709 cls=0.5685 smmd=0.5426 ct=7.7175 rec=1.2384 | train/val/test=0.813/0.804/0.804 | c=0.998967
[Epoch 0051] loss=3.6385 cls=0.6418 smmd=0.5549 ct=7.7771 rec=1.2224 | train/val/test=0.835/0.831/0.824 | c=0.998967
[Epoch 0052] loss=3.2850 cls=0.4944 smmd=0.5030 ct=7.7555 rec=1.2107 | train/val/test=0.750/0.745/0.753 | c=0.998967
[Epoch 0053] loss=3.7803 cls=0.7071 smmd=0.5572 ct=7.7828 rec=1.2617 | train/val/test=0.757/0.752/0.746 | c=0.998967
[Epoch 0054] loss=4.1572 cls=0.8548 smmd=0.6266 ct=7.8640 rec=1.2407 | train/val/test=0.792/0.786/0.784 | c=0.998967
[Epoch 0055] loss=3.8245 cls=0.6929 smmd=0.6157 ct=7.8945 rec=1.2209 | train/val/test=0.782/0.780/0.774 | c=0.998967
[Epoch 0056] loss=3.6617 cls=0.6466 smmd=0.5583 ct=7.8150 rec=1.2360 | train/val/test=0.851/0.843/0.849 | c=0.998967
[Epoch 0057] loss=3.2135 cls=0.4822 smmd=0.4557 ct=7.7487 rec=1.2182 | train/val/test=0.808/0.797/0.791 | c=0.998967
[Epoch 0058] loss=3.5483 cls=0.6236 smmd=0.4970 ct=7.7935 rec=1.2270 | train/val/test=0.820/0.819/0.803 | c=0.998967
[Epoch 0059] loss=3.4452 cls=0.5595 smmd=0.5229 ct=7.7987 rec=1.2181 | train/val/test=0.803/0.803/0.799 | c=0.998967
[Epoch 0060] loss=3.4937 cls=0.5817 smmd=0.5265 ct=7.7979 rec=1.2214 | train/val/test=0.846/0.832/0.835 | c=0.998967
