Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2928 cls=2.3056 smmd=6.8817 ct=7.6142 rec=1.3851 | train/val/test=0.378/0.380/0.370 | c=1.498601
[Epoch 0001] loss=11.7975 cls=2.0632 smmd=5.8709 ct=7.6145 rec=1.3860 | train/val/test=0.156/0.151/0.158 | c=1.498601
[Epoch 0002] loss=14.6643 cls=3.4759 smmd=5.9076 ct=7.6145 rec=1.4096 | train/val/test=0.376/0.378/0.367 | c=1.498601
[Epoch 0003] loss=13.4123 cls=2.7563 smmd=5.9571 ct=8.2824 rec=1.4305 | train/val/test=0.041/0.036/0.039 | c=1.498601
[Epoch 0004] loss=15.5106 cls=3.7858 smmd=5.9724 ct=8.4455 rec=1.3874 | train/val/test=0.377/0.378/0.368 | c=1.498601
[Epoch 0005] loss=11.7064 cls=1.9860 smmd=5.7910 ct=8.3020 rec=1.4149 | train/val/test=0.376/0.378/0.367 | c=1.498601
[Epoch 0006] loss=11.9874 cls=2.2914 smmd=5.4625 ct=8.2959 rec=1.4153 | train/val/test=0.157/0.152/0.159 | c=1.498601
[Epoch 0007] loss=11.6624 cls=2.4202 smmd=4.8640 ct=8.3775 rec=1.4118 | train/val/test=0.422/0.421/0.408 | c=1.498601
[Epoch 0008] loss=9.7858 cls=1.9476 smmd=3.9519 ct=8.3170 rec=1.3765 | train/val/test=0.449/0.444/0.433 | c=1.498601
[Epoch 0009] loss=8.2193 cls=1.6712 smmd=2.9417 ct=8.3353 rec=1.3407 | train/val/test=0.488/0.509/0.504 | c=1.498601
[Epoch 0010] loss=7.7294 cls=1.7272 smmd=2.3601 ct=8.2387 rec=1.3355 | train/val/test=0.386/0.385/0.375 | c=1.498601
[Epoch 0011] loss=7.9045 cls=1.8570 smmd=2.3164 ct=7.9983 rec=1.3724 | train/val/test=0.481/0.501/0.487 | c=1.498601
[Epoch 0012] loss=8.1101 cls=1.8958 smmd=2.4188 ct=8.1359 rec=1.3624 | train/val/test=0.585/0.583/0.589 | c=1.498601
[Epoch 0013] loss=7.0382 cls=1.4542 smmd=2.2832 ct=7.9311 rec=1.3023 | train/val/test=0.530/0.518/0.514 | c=1.498601
[Epoch 0014] loss=7.0777 cls=1.5568 smmd=2.1287 ct=7.8593 rec=1.3179 | train/val/test=0.474/0.477/0.466 | c=1.498601
[Epoch 0015] loss=6.5092 cls=1.4166 smmd=1.8149 ct=7.9979 rec=1.3081 | train/val/test=0.645/0.653/0.641 | c=1.498601
[Epoch 0016] loss=5.8716 cls=1.2305 smmd=1.5545 ct=7.9902 rec=1.2911 | train/val/test=0.587/0.583/0.584 | c=1.498601
[Epoch 0017] loss=5.7642 cls=1.2217 smmd=1.4642 ct=7.9918 rec=1.2914 | train/val/test=0.668/0.663/0.656 | c=1.498601
[Epoch 0018] loss=5.4116 cls=1.1095 smmd=1.3484 ct=7.9357 rec=1.2851 | train/val/test=0.679/0.682/0.679 | c=1.498601
[Epoch 0019] loss=5.1666 cls=1.0036 smmd=1.3203 ct=7.9254 rec=1.2698 | train/val/test=0.698/0.696/0.691 | c=1.498601
[Epoch 0020] loss=5.0658 cls=0.9423 smmd=1.3341 ct=7.9607 rec=1.2750 | train/val/test=0.707/0.707/0.704 | c=1.498601
[Epoch 0021] loss=4.8467 cls=0.8859 smmd=1.2332 ct=7.9276 rec=1.2802 | train/val/test=0.717/0.716/0.711 | c=1.498601
[Epoch 0022] loss=4.6230 cls=0.8623 smmd=1.0966 ct=7.7470 rec=1.2623 | train/val/test=0.727/0.733/0.725 | c=1.498601
[Epoch 0023] loss=4.3890 cls=0.7868 smmd=1.0186 ct=7.7281 rec=1.2561 | train/val/test=0.728/0.724/0.721 | c=1.498601
[Epoch 0024] loss=4.4318 cls=0.7959 smmd=1.0202 ct=7.8277 rec=1.2713 | train/val/test=0.708/0.719/0.701 | c=1.498601
[Epoch 0025] loss=4.5168 cls=0.8507 smmd=1.0115 ct=7.7760 rec=1.2436 | train/val/test=0.743/0.749/0.744 | c=1.498601
[Epoch 0026] loss=4.3512 cls=0.7832 smmd=0.9718 ct=7.8137 rec=1.2515 | train/val/test=0.760/0.757/0.760 | c=1.498601
[Epoch 0027] loss=4.1053 cls=0.6838 smmd=0.9280 ct=7.7986 rec=1.2498 | train/val/test=0.724/0.730/0.712 | c=1.498601
[Epoch 0028] loss=4.2752 cls=0.7806 smmd=0.9181 ct=7.7409 rec=1.2387 | train/val/test=0.758/0.752/0.758 | c=1.498601
[Epoch 0029] loss=4.0336 cls=0.6909 smmd=0.8538 ct=7.7515 rec=1.2387 | train/val/test=0.781/0.782/0.776 | c=1.498601
[Epoch 0030] loss=3.8814 cls=0.6332 smmd=0.8221 ct=7.7351 rec=1.2299 | train/val/test=0.781/0.792/0.774 | c=1.498601
[Epoch 0031] loss=3.9274 cls=0.6649 smmd=0.8019 ct=7.7560 rec=1.2227 | train/val/test=0.804/0.804/0.790 | c=1.498601
[Epoch 0032] loss=3.7793 cls=0.6166 smmd=0.7408 ct=7.7975 rec=1.2284 | train/val/test=0.809/0.808/0.800 | c=1.498601
[Epoch 0033] loss=3.7422 cls=0.6092 smmd=0.7305 ct=7.7418 rec=1.2248 | train/val/test=0.819/0.820/0.811 | c=1.498601
[Epoch 0034] loss=3.6198 cls=0.5632 smmd=0.7059 ct=7.7173 rec=1.2197 | train/val/test=0.814/0.816/0.803 | c=1.498601
[Epoch 0035] loss=3.6635 cls=0.5806 smmd=0.7065 ct=7.7596 rec=1.2198 | train/val/test=0.831/0.837/0.820 | c=1.498601
[Epoch 0036] loss=3.5416 cls=0.5465 smmd=0.6637 ct=7.7124 rec=1.2119 | train/val/test=0.843/0.844/0.835 | c=1.498601
[Epoch 0037] loss=3.5015 cls=0.5445 smmd=0.6263 ct=7.7138 rec=1.2166 | train/val/test=0.827/0.816/0.822 | c=1.498601
[Epoch 0038] loss=3.4722 cls=0.5358 smmd=0.6096 ct=7.7388 rec=1.2158 | train/val/test=0.829/0.835/0.813 | c=1.498601
[Epoch 0039] loss=3.4496 cls=0.5283 smmd=0.6090 ct=7.7100 rec=1.2104 | train/val/test=0.845/0.849/0.834 | c=1.498601
[Epoch 0040] loss=3.3173 cls=0.4843 smmd=0.5627 ct=7.7204 rec=1.2100 | train/val/test=0.844/0.839/0.841 | c=1.498601
[Epoch 0041] loss=3.4005 cls=0.5341 smmd=0.5353 ct=7.7619 rec=1.2226 | train/val/test=0.839/0.845/0.829 | c=1.498601
[Epoch 0042] loss=3.3771 cls=0.5323 smmd=0.5291 ct=7.7055 rec=1.2112 | train/val/test=0.844/0.849/0.833 | c=1.498601
