Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2433 cls=2.2809 smmd=6.8821 ct=7.6120 rec=1.3851 | train/val/test=0.377/0.367/0.377 | c=0.998967
[Epoch 0001] loss=11.6350 cls=1.9142 smmd=6.0062 ct=7.6123 rec=1.3895 | train/val/test=0.377/0.367/0.377 | c=0.998967
[Epoch 0002] loss=12.3617 cls=2.6352 smmd=5.2782 ct=7.6111 rec=1.4544 | train/val/test=0.037/0.041/0.039 | c=0.998967
[Epoch 0003] loss=28.0600 cls=10.1727 smmd=5.9139 ct=7.6114 rec=1.3924 | train/val/test=0.114/0.100/0.101 | c=0.998967
[Epoch 0004] loss=13.5686 cls=2.9131 smmd=5.7491 ct=8.5793 rec=1.3873 | train/val/test=0.153/0.153/0.165 | c=0.998967
[Epoch 0005] loss=15.3382 cls=3.7445 smmd=5.8898 ct=8.3659 rec=1.4306 | train/val/test=0.377/0.367/0.377 | c=0.998967
[Epoch 0006] loss=15.0920 cls=3.5448 smmd=6.0509 ct=8.2788 rec=1.4786 | train/val/test=0.377/0.365/0.377 | c=0.998967
[Epoch 0007] loss=13.5880 cls=2.8002 smmd=6.0663 ct=8.1886 rec=1.4178 | train/val/test=0.039/0.041/0.039 | c=0.998967
[Epoch 0008] loss=12.9226 cls=2.4835 smmd=6.0567 ct=8.1021 rec=1.3922 | train/val/test=0.062/0.060/0.062 | c=0.998967
[Epoch 0009] loss=13.9942 cls=3.0590 smmd=5.9756 ct=8.0926 rec=1.4105 | train/val/test=0.153/0.170/0.154 | c=0.998967
[Epoch 0010] loss=14.0092 cls=3.1411 smmd=5.8161 ct=8.1520 rec=1.4022 | train/val/test=0.377/0.366/0.377 | c=0.998967
[Epoch 0011] loss=12.6170 cls=2.5451 smmd=5.6138 ct=8.1567 rec=1.4082 | train/val/test=0.377/0.367/0.377 | c=0.998967
[Epoch 0012] loss=12.6249 cls=2.6776 smmd=5.3531 ct=8.1112 rec=1.4725 | train/val/test=0.153/0.154/0.165 | c=0.998967
