Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2932 cls=2.3072 smmd=6.8783 ct=7.6170 rec=1.3851 | train/val/test=0.377/0.373/0.371 | c=1.998420
[Epoch 0001] loss=11.5292 cls=2.0095 smmd=5.7096 ct=7.6169 rec=1.3862 | train/val/test=0.415/0.414/0.412 | c=1.998420
[Epoch 0002] loss=14.4112 cls=3.4106 smmd=5.7846 ct=7.6171 rec=1.4099 | train/val/test=0.377/0.373/0.371 | c=1.998420
[Epoch 0003] loss=14.0701 cls=3.1611 smmd=5.7961 ct=8.2301 rec=1.5292 | train/val/test=0.104/0.105/0.099 | c=1.998420
[Epoch 0004] loss=12.9536 cls=2.5170 smmd=5.9557 ct=8.4347 rec=1.3850 | train/val/test=0.155/0.157/0.162 | c=1.998420
[Epoch 0005] loss=11.9242 cls=2.1679 smmd=5.6183 ct=8.4586 rec=1.3919 | train/val/test=0.377/0.373/0.372 | c=1.998420
[Epoch 0006] loss=10.7624 cls=1.9454 smmd=4.9116 ct=8.4048 rec=1.3952 | train/val/test=0.377/0.373/0.372 | c=1.998420
[Epoch 0007] loss=9.5844 cls=1.8987 smmd=3.8258 ct=8.3925 rec=1.4133 | train/val/test=0.140/0.131/0.135 | c=1.998420
[Epoch 0008] loss=9.3475 cls=2.2337 smmd=2.9406 ct=8.3191 rec=1.3786 | train/val/test=0.104/0.105/0.099 | c=1.998420
[Epoch 0009] loss=13.8136 cls=4.4108 smmd=3.0636 ct=8.0598 rec=1.5825 | train/val/test=0.473/0.476/0.478 | c=1.998420
[Epoch 0010] loss=9.6869 cls=2.1685 smmd=3.4234 ct=8.2197 rec=1.4128 | train/val/test=0.399/0.394/0.395 | c=1.998420
[Epoch 0011] loss=9.8577 cls=2.0929 smmd=3.7272 ct=8.3273 rec=1.3961 | train/val/test=0.445/0.447/0.440 | c=1.998420
[Epoch 0012] loss=9.8436 cls=2.0552 smmd=3.7871 ct=8.3593 rec=1.3713 | train/val/test=0.458/0.460/0.455 | c=1.998420
[Epoch 0013] loss=9.5513 cls=2.0048 smmd=3.5990 ct=8.3439 rec=1.3696 | train/val/test=0.460/0.456/0.456 | c=1.998420
[Epoch 0014] loss=8.3128 cls=1.6330 smmd=3.1144 ct=8.3011 rec=1.3612 | train/val/test=0.566/0.567/0.560 | c=1.998420
[Epoch 0015] loss=6.9245 cls=1.2842 smmd=2.4456 ct=8.2108 rec=1.3419 | train/val/test=0.648/0.663/0.648 | c=1.998420
[Epoch 0016] loss=6.0304 cls=1.1352 smmd=1.9114 ct=7.9418 rec=1.3011 | train/val/test=0.599/0.606/0.607 | c=1.998420
[Epoch 0017] loss=6.0262 cls=1.2071 smmd=1.7682 ct=7.9269 rec=1.2916 | train/val/test=0.575/0.585/0.575 | c=1.998420
[Epoch 0018] loss=6.2226 cls=1.3198 smmd=1.7229 ct=8.0059 rec=1.2943 | train/val/test=0.612/0.620/0.617 | c=1.998420
