Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2929 cls=2.3039 smmd=6.8862 ct=7.6100 rec=1.3851 | train/val/test=0.379/0.376/0.362 | c=1.498601
[Epoch 0001] loss=11.4587 cls=1.9290 smmd=5.8008 ct=7.6101 rec=1.3894 | train/val/test=0.379/0.376/0.362 | c=1.498601
[Epoch 0002] loss=10.9962 cls=2.0844 smmd=5.0228 ct=7.6085 rec=1.4145 | train/val/test=0.021/0.022/0.027 | c=1.498601
[Epoch 0003] loss=23.0515 cls=7.7434 smmd=5.5825 ct=8.5109 rec=1.4002 | train/val/test=0.104/0.103/0.100 | c=1.498601
[Epoch 0004] loss=14.7113 cls=3.4020 smmd=5.8871 ct=8.6701 rec=1.4308 | train/val/test=0.154/0.161/0.160 | c=1.498601
[Epoch 0005] loss=13.9778 cls=2.9707 smmd=6.0351 ct=8.5901 rec=1.4165 | train/val/test=0.379/0.376/0.362 | c=1.498601
[Epoch 0006] loss=14.9713 cls=3.4524 smmd=6.0592 ct=8.4730 rec=1.5633 | train/val/test=0.379/0.376/0.362 | c=1.498601
[Epoch 0007] loss=13.3995 cls=2.7420 smmd=5.9441 ct=8.3908 rec=1.4660 | train/val/test=0.212/0.210/0.213 | c=1.498601
[Epoch 0008] loss=13.2532 cls=2.7903 smmd=5.7298 ct=8.3271 rec=1.3873 | train/val/test=0.128/0.128/0.130 | c=1.498601
[Epoch 0009] loss=11.8561 cls=2.3123 smmd=5.2952 ct=8.2982 rec=1.3834 | train/val/test=0.314/0.319/0.305 | c=1.498601
[Epoch 0010] loss=10.8042 cls=2.0844 smmd=4.6971 ct=8.3032 rec=1.3881 | train/val/test=0.475/0.486/0.460 | c=1.498601
[Epoch 0011] loss=10.4231 cls=2.2091 smmd=4.0530 ct=8.3521 rec=1.4075 | train/val/test=0.396/0.398/0.378 | c=1.498601
[Epoch 0012] loss=9.4231 cls=2.0506 smmd=3.3729 ct=8.3318 rec=1.4135 | train/val/test=0.206/0.204/0.212 | c=1.498601
[Epoch 0013] loss=8.9137 cls=2.1222 smmd=2.7584 ct=8.1806 rec=1.3742 | train/val/test=0.370/0.378/0.352 | c=1.498601
[Epoch 0014] loss=9.8683 cls=2.8221 smmd=2.3167 ct=8.1568 rec=1.3800 | train/val/test=0.145/0.140/0.148 | c=1.498601
[Epoch 0015] loss=10.6001 cls=3.0167 smmd=2.6826 ct=8.0335 rec=1.3866 | train/val/test=0.473/0.475/0.455 | c=1.498601
[Epoch 0016] loss=9.9934 cls=2.5542 smmd=2.9948 ct=8.0645 rec=1.3859 | train/val/test=0.379/0.376/0.362 | c=1.498601
[Epoch 0017] loss=9.8823 cls=2.4380 smmd=3.0855 ct=8.1178 rec=1.4861 | train/val/test=0.389/0.387/0.373 | c=1.498601
[Epoch 0018] loss=8.3991 cls=1.7998 smmd=2.8931 ct=8.1399 rec=1.3926 | train/val/test=0.418/0.429/0.403 | c=1.498601
[Epoch 0019] loss=7.9537 cls=1.6897 smmd=2.6697 ct=8.1442 rec=1.3785 | train/val/test=0.232/0.224/0.228 | c=1.498601
[Epoch 0020] loss=8.4725 cls=2.0911 smmd=2.4073 ct=8.0585 rec=1.3570 | train/val/test=0.598/0.597/0.575 | c=1.498601
[Epoch 0021] loss=6.4862 cls=1.3719 smmd=1.8997 ct=7.8800 rec=1.3338 | train/val/test=0.528/0.535/0.502 | c=1.498601
[Epoch 0022] loss=6.3219 cls=1.3462 smmd=1.7704 ct=7.9977 rec=1.2979 | train/val/test=0.483/0.487/0.472 | c=1.498601
[Epoch 0023] loss=6.3996 cls=1.3469 smmd=1.8196 ct=8.0562 rec=1.3749 | train/val/test=0.625/0.641/0.606 | c=1.498601
[Epoch 0024] loss=5.8519 cls=1.1319 smmd=1.7108 ct=8.0615 rec=1.3254 | train/val/test=0.702/0.711/0.683 | c=1.498601
[Epoch 0025] loss=5.5226 cls=1.0311 smmd=1.5927 ct=8.0512 rec=1.2875 | train/val/test=0.689/0.701/0.668 | c=1.498601
[Epoch 0026] loss=5.6265 cls=1.1311 smmd=1.5062 ct=8.0027 rec=1.2882 | train/val/test=0.675/0.684/0.657 | c=1.498601
[Epoch 0027] loss=5.2768 cls=1.0238 smmd=1.3954 ct=7.9060 rec=1.2626 | train/val/test=0.681/0.699/0.659 | c=1.498601
[Epoch 0028] loss=4.9900 cls=0.8744 smmd=1.4076 ct=7.9008 rec=1.2667 | train/val/test=0.710/0.721/0.683 | c=1.498601
[Epoch 0029] loss=5.0145 cls=0.8519 smmd=1.4679 ct=7.9410 rec=1.2729 | train/val/test=0.698/0.715/0.675 | c=1.498601
[Epoch 0030] loss=4.9988 cls=0.8759 smmd=1.4102 ct=7.9279 rec=1.2563 | train/val/test=0.750/0.755/0.730 | c=1.498601
[Epoch 0031] loss=4.6825 cls=0.8032 smmd=1.2573 ct=7.8525 rec=1.2412 | train/val/test=0.707/0.712/0.688 | c=1.498601
[Epoch 0032] loss=4.6322 cls=0.8263 smmd=1.1668 ct=7.8278 rec=1.2367 | train/val/test=0.755/0.764/0.734 | c=1.498601
[Epoch 0033] loss=4.5687 cls=0.8260 smmd=1.1028 ct=7.8338 rec=1.2363 | train/val/test=0.773/0.786/0.751 | c=1.498601
[Epoch 0034] loss=4.3386 cls=0.7292 smmd=1.0633 ct=7.8514 rec=1.2332 | train/val/test=0.761/0.774/0.748 | c=1.498601
[Epoch 0035] loss=4.2935 cls=0.6982 smmd=1.0809 ct=7.8493 rec=1.2319 | train/val/test=0.783/0.788/0.770 | c=1.498601
[Epoch 0036] loss=4.2474 cls=0.6756 smmd=1.0848 ct=7.8278 rec=1.2285 | train/val/test=0.801/0.809/0.788 | c=1.498601
[Epoch 0037] loss=4.1450 cls=0.6659 smmd=1.0104 ct=7.7898 rec=1.2249 | train/val/test=0.806/0.815/0.795 | c=1.498601
[Epoch 0038] loss=3.9748 cls=0.6355 smmd=0.9080 ct=7.7592 rec=1.2196 | train/val/test=0.806/0.813/0.792 | c=1.498601
[Epoch 0039] loss=3.9382 cls=0.6332 smmd=0.8673 ct=7.8027 rec=1.2196 | train/val/test=0.812/0.819/0.796 | c=1.498601
[Epoch 0040] loss=3.8963 cls=0.6180 smmd=0.8474 ct=7.8457 rec=1.2182 | train/val/test=0.810/0.824/0.795 | c=1.498601
[Epoch 0041] loss=3.7930 cls=0.5858 smmd=0.8122 ct=7.8314 rec=1.2149 | train/val/test=0.817/0.825/0.800 | c=1.498601
[Epoch 0042] loss=3.7557 cls=0.5765 smmd=0.7984 ct=7.7988 rec=1.2229 | train/val/test=0.827/0.835/0.816 | c=1.498601
[Epoch 0043] loss=3.6814 cls=0.5533 smmd=0.7810 ct=7.7534 rec=1.2155 | train/val/test=0.830/0.838/0.819 | c=1.498601
[Epoch 0044] loss=3.6608 cls=0.5586 smmd=0.7538 ct=7.7358 rec=1.2128 | train/val/test=0.825/0.836/0.810 | c=1.498601
[Epoch 0045] loss=3.5958 cls=0.5484 smmd=0.7057 ct=7.7488 rec=1.2174 | train/val/test=0.840/0.850/0.825 | c=1.498601
[Epoch 0046] loss=3.5181 cls=0.5228 smmd=0.6736 ct=7.7824 rec=1.2118 | train/val/test=0.842/0.848/0.830 | c=1.498601
[Epoch 0047] loss=3.5069 cls=0.5179 smmd=0.6643 ct=7.8198 rec=1.2144 | train/val/test=0.839/0.844/0.822 | c=1.498601
[Epoch 0048] loss=3.4513 cls=0.5047 smmd=0.6360 ct=7.8127 rec=1.2171 | train/val/test=0.849/0.853/0.833 | c=1.498601
[Epoch 0049] loss=3.3740 cls=0.4893 smmd=0.5977 ct=7.7781 rec=1.2107 | train/val/test=0.853/0.857/0.837 | c=1.498601
[Epoch 0050] loss=3.3617 cls=0.4945 smmd=0.5782 ct=7.7590 rec=1.2137 | train/val/test=0.851/0.859/0.830 | c=1.498601
[Epoch 0051] loss=3.3453 cls=0.4939 smmd=0.5656 ct=7.7469 rec=1.2123 | train/val/test=0.855/0.859/0.841 | c=1.498601
[Epoch 0052] loss=3.2681 cls=0.4711 smmd=0.5308 ct=7.7611 rec=1.2147 | train/val/test=0.853/0.859/0.838 | c=1.498601
[Epoch 0053] loss=3.2451 cls=0.4720 smmd=0.5040 ct=7.7776 rec=1.2076 | train/val/test=0.848/0.860/0.834 | c=1.498601
[Epoch 0054] loss=3.2633 cls=0.4828 smmd=0.4914 ct=7.8077 rec=1.2239 | train/val/test=0.836/0.841/0.818 | c=1.498601
[Epoch 0055] loss=3.3555 cls=0.5423 smmd=0.4696 ct=7.7975 rec=1.2086 | train/val/test=0.807/0.807/0.795 | c=1.498601
[Epoch 0056] loss=3.5657 cls=0.6342 smmd=0.4829 ct=7.8213 rec=1.2509 | train/val/test=0.751/0.757/0.727 | c=1.498601
[Epoch 0057] loss=4.4465 cls=1.0059 smmd=0.6139 ct=7.8681 rec=1.2358 | train/val/test=0.795/0.799/0.779 | c=1.498601
[Epoch 0058] loss=3.5461 cls=0.6012 smmd=0.5225 ct=7.8560 rec=1.2495 | train/val/test=0.455/0.449/0.454 | c=1.498601
[Epoch 0059] loss=5.4748 cls=1.4964 smmd=0.6347 ct=7.9164 rec=1.3198 | train/val/test=0.608/0.623/0.582 | c=1.498601
