Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.2650 cls=2.2868 smmd=6.8909 ct=7.6174 rec=1.3851 | train/val/test=0.371/0.386/0.377 | c=1.998420
[Epoch 0001] loss=11.3541 cls=1.9250 smmd=5.7028 ct=7.6173 rec=1.3891 | train/val/test=0.371/0.386/0.377 | c=1.998420
[Epoch 0002] loss=10.6326 cls=1.9333 smmd=4.9604 ct=7.6137 rec=1.4141 | train/val/test=0.023/0.022/0.021 | c=1.998420
[Epoch 0003] loss=18.9060 cls=5.7778 smmd=5.3577 ct=8.5683 rec=1.3949 | train/val/test=0.196/0.181/0.192 | c=1.998420
[Epoch 0004] loss=14.5457 cls=3.2919 smmd=5.9657 ct=8.5754 rec=1.4061 | train/val/test=0.371/0.386/0.377 | c=1.998420
[Epoch 0005] loss=13.9984 cls=2.8514 smmd=6.3131 ct=8.5053 rec=1.4072 | train/val/test=0.371/0.386/0.377 | c=1.998420
[Epoch 0006] loss=15.0163 cls=3.2804 smmd=6.4516 ct=8.4673 rec=1.5526 | train/val/test=0.371/0.386/0.377 | c=1.998420
[Epoch 0007] loss=13.6207 cls=2.5865 smmd=6.4566 ct=8.4442 rec=1.5109 | train/val/test=0.418/0.429/0.430 | c=1.998420
[Epoch 0008] loss=12.2881 cls=1.9679 smmd=6.3900 ct=8.4231 rec=1.3886 | train/val/test=0.103/0.100/0.097 | c=1.998420
[Epoch 0009] loss=13.0024 cls=2.4044 smmd=6.2361 ct=8.4013 rec=1.3862 | train/val/test=0.183/0.179/0.178 | c=1.998420
[Epoch 0010] loss=12.7773 cls=2.4241 smmd=5.9741 ct=8.3871 rec=1.3877 | train/val/test=0.319/0.320/0.320 | c=1.998420
[Epoch 0011] loss=11.8894 cls=2.1727 smmd=5.5902 ct=8.3792 rec=1.3891 | train/val/test=0.501/0.514/0.503 | c=1.998420
[Epoch 0012] loss=10.6714 cls=1.8202 smmd=5.0786 ct=8.3745 rec=1.3873 | train/val/test=0.387/0.401/0.390 | c=1.998420
[Epoch 0013] loss=10.1472 cls=1.8561 smmd=4.4785 ct=8.3636 rec=1.4188 | train/val/test=0.415/0.430/0.424 | c=1.998420
[Epoch 0014] loss=9.3721 cls=1.8647 smmd=3.7031 ct=8.3082 rec=1.3893 | train/val/test=0.618/0.606/0.608 | c=1.998420
[Epoch 0015] loss=7.9828 cls=1.5766 smmd=2.9398 ct=8.1043 rec=1.3446 | train/val/test=0.578/0.575/0.571 | c=1.998420
[Epoch 0016] loss=7.9932 cls=1.6885 smmd=2.7389 ct=8.0171 rec=1.3696 | train/val/test=0.674/0.664/0.660 | c=1.998420
