Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=13.3359 cls=2.3259 smmd=6.8851 ct=7.6093 rec=1.3851 | train/val/test=0.102/0.108/0.101 | c=1.498601
[Epoch 0001] loss=11.9304 cls=2.2084 smmd=5.7148 ct=7.6092 rec=1.3853 | train/val/test=0.376/0.368/0.378 | c=1.498601
[Epoch 0002] loss=14.8017 cls=3.4276 smmd=6.1429 ct=7.6095 rec=1.4087 | train/val/test=0.376/0.368/0.378 | c=1.498601
[Epoch 0003] loss=15.2649 cls=3.4509 smmd=6.3886 ct=8.4343 rec=1.4380 | train/val/test=0.102/0.108/0.101 | c=1.498601
[Epoch 0004] loss=12.9463 cls=2.2615 smmd=6.4388 ct=8.5146 rec=1.4083 | train/val/test=0.060/0.061/0.057 | c=1.498601
[Epoch 0005] loss=12.9518 cls=2.3160 smmd=6.3383 ct=8.5164 rec=1.3911 | train/val/test=0.376/0.368/0.378 | c=1.498601
[Epoch 0006] loss=12.9120 cls=2.4119 smmd=6.1128 ct=8.4325 rec=1.4443 | train/val/test=0.420/0.416/0.418 | c=1.498601
[Epoch 0007] loss=12.1671 cls=2.2731 smmd=5.6531 ct=8.4502 rec=1.3891 | train/val/test=0.446/0.445/0.445 | c=1.498601
[Epoch 0008] loss=11.2971 cls=2.2376 smmd=4.8572 ct=8.4539 rec=1.3696 | train/val/test=0.376/0.368/0.378 | c=1.498601
[Epoch 0009] loss=12.2894 cls=3.0312 smmd=4.2720 ct=8.2115 rec=1.5638 | train/val/test=0.102/0.108/0.103 | c=1.498601
[Epoch 0010] loss=11.5995 cls=2.8375 smmd=3.9726 ct=8.2644 rec=1.4947 | train/val/test=0.206/0.206/0.200 | c=1.498601
[Epoch 0011] loss=8.9952 cls=1.8561 smmd=3.3420 ct=8.3250 rec=1.3802 | train/val/test=0.523/0.519/0.504 | c=1.498601
[Epoch 0012] loss=8.1316 cls=1.7088 smmd=2.7875 ct=8.2776 rec=1.3551 | train/val/test=0.382/0.374/0.382 | c=1.498601
[Epoch 0013] loss=8.1926 cls=1.9219 smmd=2.4390 ct=8.1655 rec=1.3830 | train/val/test=0.407/0.401/0.409 | c=1.498601
[Epoch 0014] loss=7.4273 cls=1.7035 smmd=2.1407 ct=8.0727 rec=1.3250 | train/val/test=0.612/0.613/0.602 | c=1.498601
[Epoch 0015] loss=6.6738 cls=1.3528 smmd=2.1119 ct=7.9458 rec=1.3362 | train/val/test=0.642/0.642/0.625 | c=1.498601
[Epoch 0016] loss=6.8271 cls=1.3560 smmd=2.2554 ct=7.9507 rec=1.3475 | train/val/test=0.666/0.666/0.658 | c=1.498601
[Epoch 0017] loss=6.5639 cls=1.2597 smmd=2.1871 ct=7.9497 rec=1.3369 | train/val/test=0.593/0.589/0.585 | c=1.498601
[Epoch 0018] loss=6.1906 cls=1.2027 smmd=1.9310 ct=7.9565 rec=1.3144 | train/val/test=0.577/0.579/0.562 | c=1.498601
[Epoch 0019] loss=5.7750 cls=1.1675 smmd=1.5914 ct=7.9446 rec=1.2977 | train/val/test=0.627/0.621/0.615 | c=1.498601
[Epoch 0020] loss=5.2105 cls=1.0307 smmd=1.3132 ct=7.8804 rec=1.2995 | train/val/test=0.719/0.712/0.698 | c=1.498601
[Epoch 0021] loss=4.9799 cls=0.9168 smmd=1.2985 ct=7.9511 rec=1.2872 | train/val/test=0.700/0.702/0.684 | c=1.498601
[Epoch 0022] loss=5.0746 cls=0.9123 smmd=1.3938 ct=8.0110 rec=1.2705 | train/val/test=0.732/0.730/0.718 | c=1.498601
[Epoch 0023] loss=4.8484 cls=0.8397 smmd=1.3340 ct=7.9124 rec=1.2632 | train/val/test=0.688/0.683/0.671 | c=1.498601
[Epoch 0024] loss=4.7663 cls=0.8564 smmd=1.2398 ct=7.8032 rec=1.2654 | train/val/test=0.726/0.726/0.712 | c=1.498601
[Epoch 0025] loss=4.6213 cls=0.8346 smmd=1.1388 ct=7.8137 rec=1.2531 | train/val/test=0.750/0.747/0.734 | c=1.498601
[Epoch 0026] loss=4.3776 cls=0.7608 smmd=1.0452 ct=7.8045 rec=1.2493 | train/val/test=0.744/0.740/0.731 | c=1.498601
[Epoch 0027] loss=4.3517 cls=0.7621 smmd=1.0158 ct=7.8145 rec=1.2436 | train/val/test=0.745/0.746/0.731 | c=1.498601
[Epoch 0028] loss=4.3498 cls=0.7650 smmd=1.0085 ct=7.8200 rec=1.2360 | train/val/test=0.756/0.756/0.752 | c=1.498601
[Epoch 0029] loss=4.2007 cls=0.7090 smmd=0.9768 ct=7.7831 rec=1.2472 | train/val/test=0.798/0.797/0.796 | c=1.498601
[Epoch 0030] loss=3.9895 cls=0.6367 smmd=0.9105 ct=7.7942 rec=1.2340 | train/val/test=0.793/0.794/0.776 | c=1.498601
[Epoch 0031] loss=3.9518 cls=0.6379 smmd=0.8665 ct=7.8225 rec=1.2249 | train/val/test=0.801/0.797/0.796 | c=1.498601
[Epoch 0032] loss=3.8799 cls=0.6156 smmd=0.8439 ct=7.7916 rec=1.2317 | train/val/test=0.799/0.797/0.787 | c=1.498601
[Epoch 0033] loss=3.9087 cls=0.6230 smmd=0.8582 ct=7.7894 rec=1.2330 | train/val/test=0.805/0.799/0.795 | c=1.498601
[Epoch 0034] loss=3.8158 cls=0.6075 smmd=0.7997 ct=7.7753 rec=1.2303 | train/val/test=0.808/0.809/0.796 | c=1.498601
[Epoch 0035] loss=3.7266 cls=0.5711 smmd=0.7809 ct=7.7986 rec=1.2194 | train/val/test=0.824/0.826/0.818 | c=1.498601
[Epoch 0036] loss=3.5859 cls=0.5341 smmd=0.7189 ct=7.7738 rec=1.2201 | train/val/test=0.835/0.837/0.828 | c=1.498601
[Epoch 0037] loss=3.5142 cls=0.5091 smmd=0.6962 ct=7.7787 rec=1.2204 | train/val/test=0.832/0.833/0.821 | c=1.498601
[Epoch 0038] loss=3.5546 cls=0.5193 smmd=0.7126 ct=7.7988 rec=1.2182 | train/val/test=0.812/0.819/0.809 | c=1.498601
[Epoch 0039] loss=3.5444 cls=0.5446 smmd=0.6568 ct=7.7653 rec=1.2268 | train/val/test=0.825/0.831/0.819 | c=1.498601
[Epoch 0040] loss=3.6786 cls=0.5977 smmd=0.6791 ct=7.7975 rec=1.2226 | train/val/test=0.810/0.811/0.803 | c=1.498601
[Epoch 0041] loss=3.4974 cls=0.5374 smmd=0.6239 ct=7.7715 rec=1.2220 | train/val/test=0.851/0.849/0.843 | c=1.498601
[Epoch 0042] loss=3.3073 cls=0.4607 smmd=0.5930 ct=7.7530 rec=1.2120 | train/val/test=0.858/0.861/0.854 | c=1.498601
[Epoch 0043] loss=3.2987 cls=0.4668 smmd=0.5723 ct=7.7478 rec=1.2161 | train/val/test=0.820/0.821/0.808 | c=1.498601
[Epoch 0044] loss=3.3695 cls=0.5121 smmd=0.5441 ct=7.7858 rec=1.2204 | train/val/test=0.826/0.824/0.810 | c=1.498601
[Epoch 0045] loss=3.4759 cls=0.5601 smmd=0.5495 ct=7.8186 rec=1.2119 | train/val/test=0.812/0.815/0.808 | c=1.498601
[Epoch 0046] loss=3.3723 cls=0.5199 smmd=0.5360 ct=7.7621 rec=1.2203 | train/val/test=0.847/0.846/0.840 | c=1.498601
[Epoch 0047] loss=3.2268 cls=0.4710 smmd=0.4828 ct=7.7933 rec=1.2170 | train/val/test=0.800/0.798/0.784 | c=1.498601
[Epoch 0048] loss=3.5884 cls=0.6273 smmd=0.5187 ct=7.8566 rec=1.2186 | train/val/test=0.768/0.770/0.766 | c=1.498601
[Epoch 0049] loss=3.6272 cls=0.6431 smmd=0.5414 ct=7.7621 rec=1.2356 | train/val/test=0.808/0.813/0.806 | c=1.498601
[Epoch 0050] loss=3.2833 cls=0.5328 smmd=0.4202 ct=7.7701 rec=1.2174 | train/val/test=0.778/0.766/0.760 | c=1.498601
[Epoch 0051] loss=4.1751 cls=0.8213 smmd=0.6916 ct=7.9566 rec=1.2477 | train/val/test=0.825/0.820/0.810 | c=1.498601
[Epoch 0052] loss=3.5452 cls=0.5865 smmd=0.5323 ct=7.9676 rec=1.2316 | train/val/test=0.816/0.826/0.811 | c=1.498601
[Epoch 0053] loss=3.4019 cls=0.5545 smmd=0.4869 ct=7.7973 rec=1.2323 | train/val/test=0.769/0.763/0.769 | c=1.498601
[Epoch 0054] loss=3.7726 cls=0.6688 smmd=0.6186 ct=7.8248 rec=1.2574 | train/val/test=0.770/0.779/0.770 | c=1.498601
[Epoch 0055] loss=3.8968 cls=0.7870 smmd=0.4946 ct=7.8834 rec=1.2577 | train/val/test=0.707/0.702/0.697 | c=1.498601
[Epoch 0056] loss=4.7732 cls=1.0567 smmd=0.8110 ct=7.9870 rec=1.2570 | train/val/test=0.830/0.821/0.808 | c=1.498601
[Epoch 0057] loss=3.7174 cls=0.5866 smmd=0.7042 ct=7.9814 rec=1.2184 | train/val/test=0.676/0.689/0.666 | c=1.498601
[Epoch 0058] loss=4.6050 cls=1.0238 smmd=0.6921 ct=8.0420 rec=1.2846 | train/val/test=0.759/0.757/0.752 | c=1.498601
[Epoch 0059] loss=4.0845 cls=0.8066 smmd=0.6571 ct=7.8301 rec=1.2407 | train/val/test=0.694/0.691/0.691 | c=1.498601
[Epoch 0060] loss=4.5982 cls=1.0013 smmd=0.7659 ct=7.8804 rec=1.2675 | train/val/test=0.727/0.721/0.706 | c=1.498601
[Epoch 0061] loss=4.5899 cls=0.9502 smmd=0.8542 ct=7.9519 rec=1.2250 | train/val/test=0.741/0.743/0.731 | c=1.498601
[Epoch 0062] loss=4.7626 cls=1.0377 smmd=0.8432 ct=7.9787 rec=1.2414 | train/val/test=0.833/0.820/0.810 | c=1.498601
[Epoch 0063] loss=3.6661 cls=0.5355 smmd=0.7769 ct=7.8693 rec=1.2215 | train/val/test=0.490/0.483/0.490 | c=1.498601
[Epoch 0064] loss=5.6170 cls=1.3553 smmd=1.0464 ct=7.9481 rec=1.3520 | train/val/test=0.644/0.639/0.639 | c=1.498601
[Epoch 0065] loss=5.5474 cls=1.2925 smmd=1.1060 ct=7.9772 rec=1.3044 | train/val/test=0.694/0.694/0.672 | c=1.498601
[Epoch 0066] loss=5.6957 cls=1.2564 smmd=1.3095 ct=8.1337 rec=1.2335 | train/val/test=0.643/0.652/0.627 | c=1.498601
[Epoch 0067] loss=5.8787 cls=1.3362 smmd=1.3126 ct=8.1984 rec=1.2697 | train/val/test=0.662/0.653/0.629 | c=1.498601
[Epoch 0068] loss=4.7450 cls=0.9415 smmd=1.0178 ct=7.9978 rec=1.2233 | train/val/test=0.811/0.804/0.789 | c=1.498601
[Epoch 0069] loss=3.9887 cls=0.5936 smmd=0.9752 ct=7.9037 rec=1.2273 | train/val/test=0.738/0.741/0.739 | c=1.498601
[Epoch 0070] loss=4.4690 cls=0.6739 smmd=1.2811 ct=7.9627 rec=1.2378 | train/val/test=0.776/0.774/0.763 | c=1.498601
[Epoch 0071] loss=4.6453 cls=0.6659 smmd=1.4715 ct=7.9833 rec=1.2271 | train/val/test=0.722/0.725/0.710 | c=1.498601
[Epoch 0072] loss=4.7526 cls=0.7591 smmd=1.3960 ct=7.9671 rec=1.2247 | train/val/test=0.769/0.765/0.751 | c=1.498601
[Epoch 0073] loss=4.1281 cls=0.6275 smmd=1.0477 ct=7.9139 rec=1.2138 | train/val/test=0.767/0.761/0.754 | c=1.498601
[Epoch 0074] loss=3.9345 cls=0.6387 smmd=0.8365 ct=7.8859 rec=1.2168 | train/val/test=0.812/0.817/0.798 | c=1.498601
[Epoch 0075] loss=3.6958 cls=0.5284 smmd=0.8229 ct=7.8603 rec=1.2204 | train/val/test=0.818/0.814/0.801 | c=1.498601
[Epoch 0076] loss=3.7410 cls=0.5277 smmd=0.8646 ct=7.8886 rec=1.2164 | train/val/test=0.821/0.821/0.809 | c=1.498601
[Epoch 0077] loss=3.7202 cls=0.5219 smmd=0.8472 ct=7.9374 rec=1.2085 | train/val/test=0.825/0.830/0.818 | c=1.498601
[Epoch 0078] loss=3.6829 cls=0.5407 smmd=0.7741 ct=7.9246 rec=1.2125 | train/val/test=0.858/0.859/0.844 | c=1.498601
[Epoch 0079] loss=3.3509 cls=0.4315 smmd=0.6891 ct=7.7987 rec=1.1951 | train/val/test=0.857/0.857/0.844 | c=1.498601
[Epoch 0080] loss=3.3859 cls=0.4280 smmd=0.7390 ct=7.7512 rec=1.2026 | train/val/test=0.853/0.858/0.840 | c=1.498601
[Epoch 0081] loss=3.4585 cls=0.4567 smmd=0.7481 ct=7.7782 rec=1.2066 | train/val/test=0.872/0.876/0.857 | c=1.498601
[Epoch 0082] loss=3.2614 cls=0.4084 smmd=0.6514 ct=7.7603 rec=1.2060 | train/val/test=0.868/0.869/0.854 | c=1.498601
[Epoch 0083] loss=3.2282 cls=0.4151 smmd=0.6110 ct=7.7393 rec=1.1961 | train/val/test=0.868/0.869/0.855 | c=1.498601
[Epoch 0084] loss=3.2251 cls=0.4135 smmd=0.6052 ct=7.7682 rec=1.1964 | train/val/test=0.863/0.870/0.851 | c=1.498601
