row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-P,Photo,PubMed,Public,4,0.8431,0.8379,138.51112246513367,3,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run4.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run4.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run4.meta.json
HGL-P,Photo,PubMed,Public,3,0.8382,0.8463,168.06296277046204,2,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run3.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run3.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run3.meta.json
HGL-P,Photo,PubMed,Public,1,0.8294,0.8509,177.69129633903503,0,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run1.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run1.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run1.meta.json
HGL-P,Photo,PubMed,Public,2,0.8347,0.8524,183.02824592590332,1,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run2.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run2.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run2.meta.json
HGL-P,Photo,PubMed,Public,5,0.8456,0.8362,184.3020579814911,4,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run5.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run5.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__public__run5.meta.json
HGL-P,Photo,PubMed,5shot,4,0.73,0.746,177.71780633926392,3,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run4.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run4.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run4.meta.json
HGL-P,Photo,PubMed,5shot,3,0.762,0.758,168.33805918693542,2,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run3.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run3.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run3.meta.json
HGL-P,Photo,PubMed,5shot,1,0.725,0.774,170.20261931419373,0,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run1.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run1.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run1.meta.json
HGL-P,Photo,PubMed,5shot,5,0.744,0.756,179.01625657081604,4,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run5.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run5.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run5.meta.json
HGL-P,Photo,PubMed,5shot,2,0.763,0.754,180.45790028572083,1,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run2.stdout.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run2.stderr.txt,./experiments/20250921-151326/logs/HGL-P/PubMed/HGL-P__test-PubMed__few-5shot__run2.meta.json
