Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.0794 cls=2.3084 smmd=4.6633 ct=7.6112 rec=1.3851 | train/val/test=0.372/0.384/0.375 | c=1.498595
[Epoch 0001] loss=8.6735 cls=1.9779 smmd=2.9183 ct=7.6093 rec=1.3874 | train/val/test=0.372/0.384/0.376 | c=1.498595
[Epoch 0002] loss=8.0962 cls=1.9782 smmd=2.3413 ct=7.6065 rec=1.3861 | train/val/test=0.372/0.384/0.376 | c=1.498595
[Epoch 0003] loss=8.5338 cls=1.9970 smmd=2.6308 ct=8.1431 rec=1.4026 | train/val/test=0.372/0.384/0.376 | c=1.498595
[Epoch 0004] loss=7.7669 cls=1.8101 smmd=2.2324 ct=8.1791 rec=1.3922 | train/val/test=0.372/0.383/0.376 | c=1.498595
[Epoch 0005] loss=7.2260 cls=1.8365 smmd=1.6427 ct=8.1672 rec=1.3842 | train/val/test=0.372/0.384/0.376 | c=1.498595
[Epoch 0006] loss=7.1044 cls=1.8751 smmd=1.4719 ct=7.9990 rec=1.4127 | train/val/test=0.372/0.384/0.377 | c=1.498595
[Epoch 0007] loss=6.8361 cls=1.6706 smmd=1.6108 ct=8.0391 rec=1.3816 | train/val/test=0.489/0.491/0.471 | c=1.498595
[Epoch 0008] loss=6.6706 cls=1.6326 smmd=1.5336 ct=7.9848 rec=1.3747 | train/val/test=0.373/0.384/0.377 | c=1.498595
[Epoch 0009] loss=6.3781 cls=1.6391 smmd=1.2594 ct=7.8174 rec=1.3853 | train/val/test=0.467/0.487/0.493 | c=1.498595
[Epoch 0010] loss=5.8214 cls=1.4766 smmd=1.0226 ct=7.8734 rec=1.3542 | train/val/test=0.608/0.605/0.598 | c=1.498595
[Epoch 0011] loss=5.5718 cls=1.4062 smmd=0.8854 ct=8.0198 rec=1.3500 | train/val/test=0.588/0.605/0.594 | c=1.498595
[Epoch 0012] loss=5.3609 cls=1.3548 smmd=0.7804 ct=8.0141 rec=1.3400 | train/val/test=0.648/0.665/0.649 | c=1.498595
[Epoch 0013] loss=5.1127 cls=1.2583 smmd=0.7385 ct=7.9662 rec=1.3224 | train/val/test=0.672/0.685/0.676 | c=1.498595
[Epoch 0014] loss=4.9238 cls=1.1810 smmd=0.7178 ct=7.9114 rec=1.3082 | train/val/test=0.690/0.699/0.690 | c=1.498595
[Epoch 0015] loss=4.5946 cls=1.0860 smmd=0.6056 ct=7.7935 rec=1.2919 | train/val/test=0.661/0.677/0.659 | c=1.498595
[Epoch 0016] loss=4.4536 cls=1.0666 smmd=0.5157 ct=7.7364 rec=1.2874 | train/val/test=0.679/0.680/0.670 | c=1.498595
[Epoch 0017] loss=4.2401 cls=0.9837 smmd=0.4720 ct=7.7351 rec=1.2685 | train/val/test=0.673/0.677/0.666 | c=1.498595
[Epoch 0018] loss=4.1771 cls=0.9552 smmd=0.4635 ct=7.7590 rec=1.2571 | train/val/test=0.701/0.705/0.697 | c=1.498595
[Epoch 0019] loss=4.0286 cls=0.8977 smmd=0.4259 ct=7.7848 rec=1.2517 | train/val/test=0.718/0.718/0.714 | c=1.498595
[Epoch 0020] loss=3.9525 cls=0.8753 smmd=0.3857 ct=7.8281 rec=1.2522 | train/val/test=0.727/0.727/0.726 | c=1.498595
[Epoch 0021] loss=3.8160 cls=0.8339 smmd=0.3320 ct=7.8383 rec=1.2429 | train/val/test=0.723/0.731/0.722 | c=1.498595
[Epoch 0022] loss=3.7288 cls=0.8119 smmd=0.2934 ct=7.8238 rec=1.2342 | train/val/test=0.739/0.739/0.736 | c=1.498595
[Epoch 0023] loss=3.6464 cls=0.7817 smmd=0.2770 ct=7.7973 rec=1.2330 | train/val/test=0.762/0.756/0.760 | c=1.498595
[Epoch 0024] loss=3.5673 cls=0.7448 smmd=0.2774 ct=7.7681 rec=1.2336 | train/val/test=0.760/0.756/0.757 | c=1.498595
[Epoch 0025] loss=3.5198 cls=0.7254 smmd=0.2734 ct=7.7463 rec=1.2320 | train/val/test=0.771/0.768/0.770 | c=1.498595
[Epoch 0026] loss=3.4370 cls=0.6976 smmd=0.2503 ct=7.7291 rec=1.2282 | train/val/test=0.774/0.772/0.777 | c=1.498595
[Epoch 0027] loss=3.3923 cls=0.6824 smmd=0.2366 ct=7.7276 rec=1.2264 | train/val/test=0.783/0.780/0.776 | c=1.498595
[Epoch 0028] loss=3.3376 cls=0.6579 smmd=0.2290 ct=7.7372 rec=1.2267 | train/val/test=0.798/0.793/0.802 | c=1.498595
[Epoch 0029] loss=3.2941 cls=0.6382 smmd=0.2206 ct=7.7577 rec=1.2283 | train/val/test=0.802/0.797/0.803 | c=1.498595
[Epoch 0030] loss=3.2516 cls=0.6177 smmd=0.2151 ct=7.7800 rec=1.2249 | train/val/test=0.803/0.808/0.805 | c=1.498595
[Epoch 0031] loss=3.2116 cls=0.6011 smmd=0.2068 ct=7.7919 rec=1.2216 | train/val/test=0.815/0.819/0.815 | c=1.498595
[Epoch 0032] loss=3.1858 cls=0.5920 smmd=0.1991 ct=7.7891 rec=1.2239 | train/val/test=0.828/0.828/0.826 | c=1.498595
[Epoch 0033] loss=3.1485 cls=0.5727 smmd=0.2015 ct=7.7862 rec=1.2216 | train/val/test=0.824/0.826/0.828 | c=1.498595
[Epoch 0034] loss=3.1186 cls=0.5573 smmd=0.2034 ct=7.7821 rec=1.2208 | train/val/test=0.833/0.835/0.830 | c=1.498595
[Epoch 0035] loss=3.0834 cls=0.5430 smmd=0.1996 ct=7.7710 rec=1.2182 | train/val/test=0.840/0.842/0.842 | c=1.498595
[Epoch 0036] loss=3.0566 cls=0.5360 smmd=0.1896 ct=7.7547 rec=1.2198 | train/val/test=0.841/0.843/0.840 | c=1.498595
[Epoch 0037] loss=3.0304 cls=0.5244 smmd=0.1872 ct=7.7540 rec=1.2173 | train/val/test=0.842/0.842/0.839 | c=1.498595
[Epoch 0038] loss=3.0074 cls=0.5114 smmd=0.1893 ct=7.7608 rec=1.2161 | train/val/test=0.845/0.847/0.839 | c=1.498595
[Epoch 0039] loss=2.9893 cls=0.5027 smmd=0.1879 ct=7.7625 rec=1.2171 | train/val/test=0.849/0.851/0.841 | c=1.498595
[Epoch 0040] loss=2.9686 cls=0.4967 smmd=0.1798 ct=7.7612 rec=1.2160 | train/val/test=0.850/0.853/0.843 | c=1.498595
[Epoch 0041] loss=2.9501 cls=0.4900 smmd=0.1743 ct=7.7628 rec=1.2161 | train/val/test=0.849/0.851/0.841 | c=1.498595
[Epoch 0042] loss=2.9351 cls=0.4822 smmd=0.1747 ct=7.7672 rec=1.2127 | train/val/test=0.857/0.856/0.846 | c=1.498595
[Epoch 0043] loss=2.9287 cls=0.4798 smmd=0.1717 ct=7.7657 rec=1.2213 | train/val/test=0.842/0.841/0.839 | c=1.498595
[Epoch 0044] loss=2.9777 cls=0.5012 smmd=0.1776 ct=7.7764 rec=1.2120 | train/val/test=0.843/0.832/0.835 | c=1.498595
[Epoch 0045] loss=3.0590 cls=0.5414 smmd=0.1740 ct=7.7681 rec=1.2425 | train/val/test=0.798/0.804/0.803 | c=1.498595
[Epoch 0046] loss=3.5858 cls=0.7612 smmd=0.2517 ct=7.8383 rec=1.2202 | train/val/test=0.856/0.852/0.852 | c=1.498595
[Epoch 0047] loss=2.8974 cls=0.4713 smmd=0.1594 ct=7.7660 rec=1.2111 | train/val/test=0.481/0.472/0.480 | c=1.498595
[Epoch 0048] loss=4.6899 cls=1.3141 smmd=0.2384 ct=7.8251 rec=1.2916 | train/val/test=0.740/0.760/0.743 | c=1.498595
[Epoch 0049] loss=5.3819 cls=1.4745 smmd=0.5908 ct=7.9653 rec=1.2449 | train/val/test=0.721/0.745/0.739 | c=1.498595
[Epoch 0050] loss=7.2773 cls=2.1855 smmd=1.0398 ct=8.0811 rec=1.2509 | train/val/test=0.704/0.720/0.732 | c=1.498595
[Epoch 0051] loss=6.2185 cls=1.7435 smmd=0.8696 ct=8.0720 rec=1.2372 | train/val/test=0.747/0.753/0.757 | c=1.498595
[Epoch 0052] loss=4.0251 cls=0.9152 smmd=0.3666 ct=7.9205 rec=1.2198 | train/val/test=0.804/0.809/0.799 | c=1.498595
[Epoch 0053] loss=3.3826 cls=0.5938 smmd=0.3839 ct=7.8125 rec=1.2429 | train/val/test=0.501/0.493/0.492 | c=1.498595
[Epoch 0054] loss=5.3644 cls=1.3862 smmd=0.7302 ct=7.9520 rec=1.3575 | train/val/test=0.694/0.685/0.667 | c=1.498595
[Epoch 0055] loss=3.9472 cls=0.8186 smmd=0.4843 ct=7.8886 rec=1.2403 | train/val/test=0.796/0.797/0.791 | c=1.498595
[Epoch 0056] loss=3.4448 cls=0.6339 smmd=0.3593 ct=7.8835 rec=1.2049 | train/val/test=0.643/0.643/0.638 | c=1.498595
[Epoch 0057] loss=4.8646 cls=1.2226 smmd=0.5658 ct=8.0072 rec=1.2610 | train/val/test=0.711/0.723/0.707 | c=1.498595
[Epoch 0058] loss=4.3484 cls=1.0060 smmd=0.4927 ct=7.9882 rec=1.2304 | train/val/test=0.705/0.721/0.709 | c=1.498595
[Epoch 0059] loss=4.5113 cls=1.0713 smmd=0.5251 ct=7.9380 rec=1.2803 | train/val/test=0.731/0.744/0.746 | c=1.498595
[Epoch 0060] loss=4.1379 cls=0.8969 smmd=0.5118 ct=7.8949 rec=1.2663 | train/val/test=0.812/0.817/0.818 | c=1.498595
[Epoch 0061] loss=3.4656 cls=0.5586 smmd=0.5305 ct=7.8761 rec=1.2137 | train/val/test=0.733/0.726/0.740 | c=1.498595
[Epoch 0062] loss=4.0997 cls=0.8103 smmd=0.6459 ct=7.9040 rec=1.2621 | train/val/test=0.800/0.801/0.800 | c=1.498595
[Epoch 0063] loss=3.6170 cls=0.6118 smmd=0.5828 ct=7.8343 rec=1.2190 | train/val/test=0.811/0.817/0.815 | c=1.498595
[Epoch 0064] loss=3.5624 cls=0.6148 smmd=0.5324 ct=7.7910 rec=1.2115 | train/val/test=0.785/0.801/0.791 | c=1.498595
[Epoch 0065] loss=3.6808 cls=0.6847 smmd=0.5083 ct=7.7987 rec=1.2168 | train/val/test=0.787/0.797/0.795 | c=1.498595
[Epoch 0066] loss=3.5821 cls=0.6583 smmd=0.4591 ct=7.8202 rec=1.2117 | train/val/test=0.806/0.804/0.809 | c=1.498595
[Epoch 0067] loss=3.3435 cls=0.5656 smmd=0.4015 ct=7.8423 rec=1.2121 | train/val/test=0.809/0.805/0.814 | c=1.498595
[Epoch 0068] loss=3.3406 cls=0.5803 smmd=0.3633 ct=7.8629 rec=1.2207 | train/val/test=0.825/0.819/0.824 | c=1.498595
[Epoch 0069] loss=3.1790 cls=0.5298 smmd=0.3074 ct=7.8487 rec=1.2113 | train/val/test=0.843/0.848/0.837 | c=1.498595
[Epoch 0070] loss=3.1324 cls=0.5203 smmd=0.2873 ct=7.8222 rec=1.2003 | train/val/test=0.826/0.831/0.823 | c=1.498595
