Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.2759 cls=2.2975 smmd=4.8805 ct=7.6167 rec=1.3851 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0001] loss=8.7571 cls=2.0113 smmd=2.9345 ct=7.6136 rec=1.3863 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0002] loss=8.1020 cls=1.9138 smmd=2.4742 ct=7.6132 rec=1.3880 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0003] loss=8.3715 cls=1.8976 smmd=2.6674 ct=8.1451 rec=1.3987 | train/val/test=0.441/0.444/0.441 | c=1.498595
[Epoch 0004] loss=8.2312 cls=1.9781 smmd=2.3595 ct=8.1929 rec=1.3848 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0005] loss=7.7798 cls=2.0051 smmd=1.8645 ct=8.1026 rec=1.4235 | train/val/test=0.375/0.377/0.375 | c=1.498595
[Epoch 0006] loss=6.8615 cls=1.7365 smmd=1.5162 ct=7.9723 rec=1.3893 | train/val/test=0.394/0.398/0.390 | c=1.498595
[Epoch 0007] loss=7.4263 cls=1.9956 smmd=1.5691 ct=7.9494 rec=1.3803 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0008] loss=6.7763 cls=1.7313 smmd=1.4740 ct=7.7998 rec=1.3988 | train/val/test=0.374/0.377/0.375 | c=1.498595
[Epoch 0009] loss=6.6699 cls=1.7331 smmd=1.3471 ct=7.8890 rec=1.3937 | train/val/test=0.628/0.636/0.635 | c=1.498595
[Epoch 0010] loss=6.0893 cls=1.5331 smmd=1.1572 ct=7.9596 rec=1.3702 | train/val/test=0.669/0.671/0.667 | c=1.498595
[Epoch 0011] loss=5.9821 cls=1.5469 smmd=1.0256 ct=7.9495 rec=1.3636 | train/val/test=0.524/0.527/0.516 | c=1.498595
[Epoch 0012] loss=5.5094 cls=1.3912 smmd=0.8840 ct=7.8692 rec=1.3455 | train/val/test=0.483/0.485/0.483 | c=1.498595
[Epoch 0013] loss=5.4328 cls=1.3962 smmd=0.8033 ct=7.8332 rec=1.3524 | train/val/test=0.641/0.646/0.650 | c=1.498595
