Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.1842 cls=2.3231 smmd=4.7377 ct=7.6158 rec=1.3851 | train/val/test=0.398/0.403/0.415 | c=1.998404
[Epoch 0001] loss=8.7134 cls=2.0053 smmd=2.9025 ct=7.6142 rec=1.3871 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0002] loss=8.0817 cls=1.9320 smmd=2.4176 ct=7.6130 rec=1.3875 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0003] loss=8.5798 cls=1.9873 smmd=2.6698 ct=8.2722 rec=1.4048 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0004] loss=7.9768 cls=1.8367 smmd=2.3568 ct=8.3443 rec=1.3881 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0005] loss=7.1684 cls=1.7916 smmd=1.6702 ct=8.1855 rec=1.3899 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0006] loss=7.0293 cls=1.8089 smmd=1.5240 ct=8.0353 rec=1.4028 | train/val/test=0.471/0.489/0.480 | c=1.998404
[Epoch 0007] loss=7.1969 cls=1.7781 smmd=1.7416 ct=8.1170 rec=1.3784 | train/val/test=0.371/0.381/0.381 | c=1.998404
[Epoch 0008] loss=6.9194 cls=1.7380 smmd=1.5662 ct=7.9905 rec=1.3955 | train/val/test=0.387/0.395/0.395 | c=1.998404
[Epoch 0009] loss=6.3071 cls=1.5669 smmd=1.2937 ct=8.0268 rec=1.3712 | train/val/test=0.636/0.635/0.636 | c=1.998404
[Epoch 0010] loss=6.1201 cls=1.5500 smmd=1.1285 ct=8.0947 rec=1.3633 | train/val/test=0.484/0.499/0.493 | c=1.998404
[Epoch 0011] loss=5.6123 cls=1.4173 smmd=0.8943 ct=8.0662 rec=1.3513 | train/val/test=0.518/0.542/0.527 | c=1.998404
[Epoch 0012] loss=5.4680 cls=1.3885 smmd=0.8023 ct=8.0966 rec=1.3466 | train/val/test=0.672/0.681/0.680 | c=1.998404
[Epoch 0013] loss=5.1697 cls=1.2436 smmd=0.7962 ct=8.1049 rec=1.3269 | train/val/test=0.671/0.681/0.676 | c=1.998404
[Epoch 0014] loss=4.9749 cls=1.1862 smmd=0.7368 ct=8.0195 rec=1.3089 | train/val/test=0.667/0.676/0.676 | c=1.998404
[Epoch 0015] loss=4.7112 cls=1.1223 smmd=0.6265 ct=7.8971 rec=1.3037 | train/val/test=0.683/0.700/0.695 | c=1.998404
[Epoch 0016] loss=4.5192 cls=1.0630 smmd=0.5650 ct=7.8497 rec=1.2914 | train/val/test=0.695/0.703/0.696 | c=1.998404
[Epoch 0017] loss=4.2829 cls=0.9745 smmd=0.5170 ct=7.8137 rec=1.2708 | train/val/test=0.700/0.712/0.703 | c=1.998404
[Epoch 0018] loss=4.1546 cls=0.9339 smmd=0.4695 ct=7.8241 rec=1.2625 | train/val/test=0.734/0.744/0.736 | c=1.998404
