Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.2759 cls=2.3147 smmd=4.8473 ct=7.6104 rec=1.3851 | train/val/test=0.159/0.154/0.149 | c=0.998905
[Epoch 0001] loss=8.7227 cls=2.0218 smmd=2.8802 ct=7.6083 rec=1.3864 | train/val/test=0.375/0.378/0.373 | c=0.998905
[Epoch 0002] loss=8.0383 cls=1.9060 smmd=2.4271 ct=7.6071 rec=1.3890 | train/val/test=0.375/0.378/0.373 | c=0.998905
[Epoch 0003] loss=8.1709 cls=1.8716 smmd=2.6274 ct=7.6067 rec=1.3956 | train/val/test=0.375/0.378/0.372 | c=0.998905
[Epoch 0004] loss=7.7632 cls=1.8431 smmd=2.2798 ct=7.5997 rec=1.3866 | train/val/test=0.375/0.378/0.373 | c=0.998905
[Epoch 0005] loss=7.2667 cls=1.9010 smmd=1.6636 ct=7.5882 rec=1.4172 | train/val/test=0.399/0.401/0.395 | c=0.998905
[Epoch 0006] loss=6.7904 cls=1.7333 smmd=1.5356 ct=7.5605 rec=1.3808 | train/val/test=0.375/0.379/0.373 | c=0.998905
[Epoch 0007] loss=6.5659 cls=1.6310 smmd=1.5244 ct=7.5134 rec=1.3836 | train/val/test=0.395/0.397/0.392 | c=0.998905
[Epoch 0008] loss=6.3294 cls=1.5663 smmd=1.4244 ct=7.4863 rec=1.3760 | train/val/test=0.535/0.526/0.530 | c=0.998905
[Epoch 0009] loss=5.9448 cls=1.4748 smmd=1.2316 ct=7.4562 rec=1.3621 | train/val/test=0.490/0.478/0.490 | c=0.998905
[Epoch 0010] loss=5.5529 cls=1.4068 smmd=0.9841 ct=7.4167 rec=1.3589 | train/val/test=0.583/0.571/0.582 | c=0.998905
[Epoch 0011] loss=5.1641 cls=1.2912 smmd=0.8356 ct=7.3965 rec=1.3340 | train/val/test=0.678/0.668/0.675 | c=0.998905
[Epoch 0012] loss=4.9390 cls=1.2023 smmd=0.7936 ct=7.3836 rec=1.3208 | train/val/test=0.633/0.625/0.631 | c=0.998905
[Epoch 0013] loss=4.7506 cls=1.1545 smmd=0.7103 ct=7.3473 rec=1.3092 | train/val/test=0.655/0.647/0.652 | c=0.998905
[Epoch 0014] loss=4.6289 cls=1.0831 smmd=0.6105 ct=7.9705 rec=1.2908 | train/val/test=0.680/0.667/0.674 | c=0.998905
[Epoch 0015] loss=4.4235 cls=1.0143 smmd=0.5701 ct=7.8470 rec=1.2773 | train/val/test=0.688/0.676/0.686 | c=0.998905
[Epoch 0016] loss=4.1996 cls=0.9497 smmd=0.4948 ct=7.7617 rec=1.2655 | train/val/test=0.691/0.684/0.687 | c=0.998905
[Epoch 0017] loss=4.1260 cls=0.9342 smmd=0.4514 ct=7.7682 rec=1.2627 | train/val/test=0.710/0.699/0.706 | c=0.998905
[Epoch 0018] loss=4.0019 cls=0.8858 smmd=0.4440 ct=7.6861 rec=1.2451 | train/val/test=0.712/0.701/0.705 | c=0.998905
[Epoch 0019] loss=3.8781 cls=0.8441 smmd=0.4034 ct=7.6935 rec=1.2390 | train/val/test=0.723/0.719/0.717 | c=0.998905
[Epoch 0020] loss=3.7755 cls=0.8127 smmd=0.3518 ct=7.7535 rec=1.2384 | train/val/test=0.763/0.754/0.759 | c=0.998905
[Epoch 0021] loss=3.6858 cls=0.7841 smmd=0.3176 ct=7.7653 rec=1.2347 | train/val/test=0.761/0.751/0.758 | c=0.998905
[Epoch 0022] loss=3.5876 cls=0.7521 smmd=0.2768 ct=7.8017 rec=1.2319 | train/val/test=0.765/0.756/0.761 | c=0.998905
[Epoch 0023] loss=3.5261 cls=0.7294 smmd=0.2536 ct=7.8402 rec=1.2286 | train/val/test=0.776/0.769/0.774 | c=0.998905
[Epoch 0024] loss=3.4654 cls=0.7028 smmd=0.2531 ct=7.8107 rec=1.2231 | train/val/test=0.784/0.776/0.783 | c=0.998905
[Epoch 0025] loss=3.3985 cls=0.6752 smmd=0.2433 ct=7.8013 rec=1.2225 | train/val/test=0.775/0.769/0.773 | c=0.998905
[Epoch 0026] loss=3.3587 cls=0.6597 smmd=0.2331 ct=7.8050 rec=1.2257 | train/val/test=0.797/0.788/0.794 | c=0.998905
