Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.2963 cls=2.3256 smmd=4.8465 ct=7.6086 rec=1.3851 | train/val/test=0.375/0.369/0.374 | c=1.998404
[Epoch 0001] loss=8.8202 cls=2.0180 smmd=2.9855 ct=7.6066 rec=1.3865 | train/val/test=0.376/0.370/0.376 | c=1.998404
[Epoch 0002] loss=8.0286 cls=1.9247 smmd=2.3806 ct=7.6060 rec=1.3875 | train/val/test=0.376/0.370/0.376 | c=1.998404
[Epoch 0003] loss=8.5312 cls=1.9606 smmd=2.6714 ct=8.2913 rec=1.4019 | train/val/test=0.376/0.370/0.376 | c=1.998404
[Epoch 0004] loss=7.9754 cls=1.8290 smmd=2.3731 ct=8.3329 rec=1.3891 | train/val/test=0.376/0.370/0.376 | c=1.998404
[Epoch 0005] loss=7.1780 cls=1.7814 smmd=1.6913 ct=8.2311 rec=1.3887 | train/val/test=0.376/0.370/0.376 | c=1.998404
[Epoch 0006] loss=7.0518 cls=1.8279 smmd=1.4933 ct=8.1063 rec=1.4077 | train/val/test=0.437/0.437/0.429 | c=1.998404
[Epoch 0007] loss=7.1524 cls=1.7892 smmd=1.6821 ct=8.0819 rec=1.3783 | train/val/test=0.377/0.370/0.376 | c=1.998404
[Epoch 0008] loss=6.8889 cls=1.7295 smmd=1.5523 ct=7.9873 rec=1.4005 | train/val/test=0.387/0.378/0.383 | c=1.998404
[Epoch 0009] loss=6.2387 cls=1.5283 smmd=1.3121 ct=7.9795 rec=1.3705 | train/val/test=0.658/0.656/0.628 | c=1.998404
[Epoch 0010] loss=6.1251 cls=1.5539 smmd=1.1373 ct=8.0342 rec=1.3659 | train/val/test=0.511/0.509/0.501 | c=1.998404
[Epoch 0011] loss=5.5554 cls=1.4037 smmd=0.8750 ct=8.0119 rec=1.3525 | train/val/test=0.537/0.528/0.522 | c=1.998404
[Epoch 0012] loss=5.4119 cls=1.3801 smmd=0.7773 ct=8.0230 rec=1.3485 | train/val/test=0.652/0.652/0.623 | c=1.998404
[Epoch 0013] loss=5.1143 cls=1.2307 smmd=0.7866 ct=8.0041 rec=1.3276 | train/val/test=0.651/0.648/0.620 | c=1.998404
[Epoch 0014] loss=4.9301 cls=1.1673 smmd=0.7405 ct=7.9661 rec=1.3098 | train/val/test=0.680/0.669/0.649 | c=1.998404
[Epoch 0015] loss=4.6775 cls=1.1054 smmd=0.6172 ct=7.9476 rec=1.2997 | train/val/test=0.690/0.687/0.660 | c=1.998404
[Epoch 0016] loss=4.4941 cls=1.0598 smmd=0.5327 ct=7.9206 rec=1.2884 | train/val/test=0.685/0.689/0.656 | c=1.998404
[Epoch 0017] loss=4.2510 cls=0.9662 smmd=0.4903 ct=7.8704 rec=1.2703 | train/val/test=0.701/0.707/0.676 | c=1.998404
[Epoch 0018] loss=4.1610 cls=0.9326 smmd=0.4697 ct=7.8715 rec=1.2596 | train/val/test=0.710/0.710/0.678 | c=1.998404
[Epoch 0019] loss=3.9959 cls=0.8771 smmd=0.4176 ct=7.8710 rec=1.2498 | train/val/test=0.697/0.696/0.667 | c=1.998404
[Epoch 0020] loss=3.9435 cls=0.8722 smmd=0.3769 ct=7.8557 rec=1.2556 | train/val/test=0.727/0.734/0.694 | c=1.998404
[Epoch 0021] loss=3.8061 cls=0.8210 smmd=0.3422 ct=7.8668 rec=1.2434 | train/val/test=0.734/0.738/0.700 | c=1.998404
[Epoch 0022] loss=3.6895 cls=0.7754 smmd=0.3193 ct=7.8624 rec=1.2349 | train/val/test=0.734/0.731/0.704 | c=1.998404
[Epoch 0023] loss=3.6555 cls=0.7663 smmd=0.3062 ct=7.8469 rec=1.2368 | train/val/test=0.762/0.761/0.728 | c=1.998404
[Epoch 0024] loss=3.5361 cls=0.7247 smmd=0.2694 ct=7.8536 rec=1.2325 | train/val/test=0.766/0.767/0.731 | c=1.998404
[Epoch 0025] loss=3.4782 cls=0.7015 smmd=0.2565 ct=7.8620 rec=1.2314 | train/val/test=0.764/0.760/0.728 | c=1.998404
[Epoch 0026] loss=3.4451 cls=0.6885 smmd=0.2502 ct=7.8558 rec=1.2337 | train/val/test=0.775/0.781/0.747 | c=1.998404
[Epoch 0027] loss=3.3582 cls=0.6554 smmd=0.2306 ct=7.8569 rec=1.2274 | train/val/test=0.780/0.780/0.756 | c=1.998404
[Epoch 0028] loss=3.3386 cls=0.6466 smmd=0.2281 ct=7.8620 rec=1.2247 | train/val/test=0.787/0.788/0.756 | c=1.998404
[Epoch 0029] loss=3.2903 cls=0.6253 smmd=0.2234 ct=7.8560 rec=1.2255 | train/val/test=0.799/0.803/0.769 | c=1.998404
[Epoch 0030] loss=3.2318 cls=0.5986 smmd=0.2163 ct=7.8683 rec=1.2230 | train/val/test=0.808/0.814/0.782 | c=1.998404
[Epoch 0031] loss=3.2148 cls=0.5917 smmd=0.2112 ct=7.8784 rec=1.2220 | train/val/test=0.822/0.820/0.792 | c=1.998404
[Epoch 0032] loss=3.1663 cls=0.5736 smmd=0.2023 ct=7.8599 rec=1.2244 | train/val/test=0.827/0.822/0.796 | c=1.998404
[Epoch 0033] loss=3.1323 cls=0.5593 smmd=0.1992 ct=7.8519 rec=1.2209 | train/val/test=0.820/0.824/0.786 | c=1.998404
[Epoch 0034] loss=3.1150 cls=0.5514 smmd=0.1989 ct=7.8512 rec=1.2157 | train/val/test=0.831/0.827/0.800 | c=1.998404
[Epoch 0035] loss=3.0738 cls=0.5320 smmd=0.1973 ct=7.8467 rec=1.2151 | train/val/test=0.840/0.830/0.812 | c=1.998404
[Epoch 0036] loss=3.0536 cls=0.5230 smmd=0.1952 ct=7.8445 rec=1.2181 | train/val/test=0.842/0.837/0.808 | c=1.998404
[Epoch 0037] loss=3.0322 cls=0.5142 smmd=0.1899 ct=7.8527 rec=1.2169 | train/val/test=0.844/0.836/0.808 | c=1.998404
[Epoch 0038] loss=3.0055 cls=0.5047 smmd=0.1819 ct=7.8585 rec=1.2131 | train/val/test=0.840/0.833/0.806 | c=1.998404
[Epoch 0039] loss=2.9994 cls=0.5019 smmd=0.1826 ct=7.8495 rec=1.2153 | train/val/test=0.844/0.839/0.806 | c=1.998404
[Epoch 0040] loss=2.9827 cls=0.4957 smmd=0.1769 ct=7.8616 rec=1.2109 | train/val/test=0.849/0.837/0.811 | c=1.998404
[Epoch 0041] loss=2.9590 cls=0.4840 smmd=0.1762 ct=7.8592 rec=1.2149 | train/val/test=0.851/0.837/0.820 | c=1.998404
[Epoch 0042] loss=2.9451 cls=0.4765 smmd=0.1764 ct=7.8661 rec=1.2127 | train/val/test=0.857/0.842/0.820 | c=1.998404
[Epoch 0043] loss=2.9221 cls=0.4663 smmd=0.1748 ct=7.8578 rec=1.2159 | train/val/test=0.854/0.842/0.817 | c=1.998404
[Epoch 0044] loss=2.9097 cls=0.4645 smmd=0.1659 ct=7.8645 rec=1.2092 | train/val/test=0.862/0.846/0.830 | c=1.998404
[Epoch 0045] loss=2.8936 cls=0.4578 smmd=0.1652 ct=7.8481 rec=1.2162 | train/val/test=0.859/0.844/0.822 | c=1.998404
[Epoch 0046] loss=2.8883 cls=0.4551 smmd=0.1631 ct=7.8652 rec=1.2095 | train/val/test=0.864/0.847/0.830 | c=1.998404
[Epoch 0047] loss=2.8671 cls=0.4439 smmd=0.1635 ct=7.8620 rec=1.2171 | train/val/test=0.859/0.845/0.826 | c=1.998404
[Epoch 0048] loss=2.8672 cls=0.4456 smmd=0.1598 ct=7.8721 rec=1.2094 | train/val/test=0.871/0.848/0.843 | c=1.998404
[Epoch 0049] loss=2.8491 cls=0.4385 smmd=0.1582 ct=7.8489 rec=1.2202 | train/val/test=0.855/0.848/0.819 | c=1.998404
[Epoch 0050] loss=2.8714 cls=0.4498 smmd=0.1571 ct=7.8663 rec=1.2070 | train/val/test=0.872/0.851/0.843 | c=1.998404
