Parsed from filename: Pretrained backbone is Hyperbolic.
Split sizes | train=8251, val=2750, test=2751 (mode=public, shot=N/A)
[Epoch 0000] loss=11.3871 cls=2.3349 smmd=4.9181 ct=7.6109 rec=1.3851 | train/val/test=0.156/0.155/0.156 | c=1.998404
[Epoch 0001] loss=8.7488 cls=2.0115 smmd=2.9266 ct=7.6091 rec=1.3868 | train/val/test=0.378/0.370/0.372 | c=1.998404
[Epoch 0002] loss=8.2032 cls=1.9278 smmd=2.5484 ct=7.6085 rec=1.3873 | train/val/test=0.378/0.370/0.372 | c=1.998404
[Epoch 0003] loss=8.6144 cls=1.9552 smmd=2.7559 ct=8.3389 rec=1.4015 | train/val/test=0.378/0.370/0.372 | c=1.998404
[Epoch 0004] loss=7.9853 cls=1.8177 smmd=2.3892 ct=8.4137 rec=1.3893 | train/val/test=0.378/0.370/0.372 | c=1.998404
[Epoch 0005] loss=7.2760 cls=1.7927 smmd=1.7759 ct=8.1881 rec=1.3852 | train/val/test=0.378/0.370/0.372 | c=1.998404
[Epoch 0006] loss=7.2198 cls=1.8805 smmd=1.5886 ct=7.9315 rec=1.4190 | train/val/test=0.454/0.441/0.440 | c=1.998404
[Epoch 0007] loss=7.2489 cls=1.7717 smmd=1.8177 ct=8.0595 rec=1.3800 | train/val/test=0.383/0.376/0.372 | c=1.998404
[Epoch 0008] loss=6.6473 cls=1.5943 smmd=1.6107 ct=7.8651 rec=1.3752 | train/val/test=0.379/0.371/0.372 | c=1.998404
[Epoch 0009] loss=6.4887 cls=1.6473 smmd=1.3496 ct=7.8325 rec=1.3895 | train/val/test=0.534/0.532/0.524 | c=1.998404
[Epoch 0010] loss=6.0791 cls=1.5147 smmd=1.1901 ct=7.9414 rec=1.3564 | train/val/test=0.617/0.621/0.604 | c=1.998404
[Epoch 0011] loss=5.5488 cls=1.3661 smmd=0.9505 ct=7.9854 rec=1.3447 | train/val/test=0.493/0.489/0.487 | c=1.998404
[Epoch 0012] loss=5.4946 cls=1.3971 smmd=0.8277 ct=8.0177 rec=1.3461 | train/val/test=0.653/0.660/0.643 | c=1.998404
[Epoch 0013] loss=5.1149 cls=1.2284 smmd=0.7952 ct=7.9934 rec=1.3213 | train/val/test=0.659/0.665/0.651 | c=1.998404
[Epoch 0014] loss=5.0632 cls=1.2041 smmd=0.8032 ct=7.9472 rec=1.3114 | train/val/test=0.666/0.669/0.656 | c=1.998404
[Epoch 0015] loss=4.7230 cls=1.1085 smmd=0.6767 ct=7.8479 rec=1.2983 | train/val/test=0.658/0.660/0.644 | c=1.998404
[Epoch 0016] loss=4.5441 cls=1.0812 smmd=0.5620 ct=7.8050 rec=1.2939 | train/val/test=0.684/0.684/0.678 | c=1.998404
[Epoch 0017] loss=4.3082 cls=0.9964 smmd=0.5012 ct=7.7969 rec=1.2744 | train/val/test=0.712/0.719/0.709 | c=1.998404
[Epoch 0018] loss=4.1614 cls=0.9337 smmd=0.4880 ct=7.7660 rec=1.2644 | train/val/test=0.731/0.735/0.728 | c=1.998404
