HGL_alias,CiteSeer__Public,CiteSeer__5shot,CiteSeer__10shot,Cora__Public,Cora__5shot,Cora__10shot,Photo__Public,Photo__5shot,Photo__10shot,PubMed__Public,PubMed__5shot,PubMed__10shot
HGL-C,0.7652±0.0086,0.7110±0.0236,0.7148±0.0178,0.8660±0.0156,0.6590±0.0326,0.7150±0.0101,0.9264±0.0031,0.8715±0.0070,0.8909±0.0037,0.8378±0.0063,0.7488±0.0162,0.7720±0.0055
HGL-P,0.7462±0.0053,0.6716±0.0485,0.7176±0.0163,0.8539±0.0151,0.7052±0.0370,0.7202±0.0234,0.9211±0.0040,0.8743±0.0091,0.8934±0.0062,0.8388±0.0065,0.7506±0.0138,0.7648±0.0036
