test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,77,0.7880,0.7447,49.99,experiment_log_2025-09-21 04:07:44.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,1,71,0.7835,0.7492,51.08,experiment_log_2025-09-21 04:08:35.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,2,103,0.7654,0.7432,47.27,experiment_log_2025-09-21 04:09:22.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,3,93,0.7699,0.7417,51.37,experiment_log_2025-09-21 04:10:14.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,4,107,0.7549,0.7553,49.16,experiment_log_2025-09-21 04:11:03.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,117,0.7639,0.7417,49.99,experiment_log_2025-09-21 04:11:53.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,1,59,0.5660,0.5890,50.50,experiment_log_2025-09-21 04:12:43.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,2,178,0.7420,0.7340,52.04,experiment_log_2025-09-21 04:13:35.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,3,29,0.6920,0.6570,44.66,experiment_log_2025-09-21 04:14:20.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,4,30,0.6920,0.6780,44.27,experiment_log_2025-09-21 04:15:04.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,165,0.6960,0.7000,45.48,experiment_log_2025-09-21 04:15:50.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,1,84,0.7280,0.7250,45.45,experiment_log_2025-09-21 04:16:35.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,2,47,0.7280,0.7300,52.39,experiment_log_2025-09-21 04:17:28.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,3,60,0.7420,0.7310,48.67,experiment_log_2025-09-21 04:18:16.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,4,43,0.7140,0.6870,48.22,experiment_log_2025-09-21 04:19:04.txt
CiteSeer,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,60,0.7280,0.7150,49.88,experiment_log_2025-09-21 04:19:54.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,1,56,0.8745,0.8450,38.24,experiment_log_2025-09-21 06:26:52.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,2,89,0.8745,0.9004,44.31,experiment_log_2025-09-21 06:27:37.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,3,160,0.8967,0.8561,44.44,experiment_log_2025-09-21 06:28:21.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,4,58,0.8524,0.8930,52.84,experiment_log_2025-09-21 06:29:14.txt
Cora,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,70,0.8469,0.8542,40.89,experiment_log_2025-09-21 06:29:55.txt
