test_dataset,pretrained,few,shot,run,epoch,val_acc,test_acc,duration_sec,log_file
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,179,0.8673,0.8653,104.58,experiment_log_2025-09-21 04:58:14.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,1,91,0.9036,0.9041,116.70,experiment_log_2025-09-21 05:00:11.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,2,114,0.8917,0.8899,112.50,experiment_log_2025-09-21 05:02:03.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,3,127,0.8904,0.8958,95.69,experiment_log_2025-09-21 05:03:39.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,4,98,0.8851,0.8861,119.42,experiment_log_2025-09-21 05:05:38.txt
Photo,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,117,0.8851,0.8912,134.90,experiment_log_2025-09-21 05:07:53.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,1,48,0.8400,0.8436,187.86,experiment_log_2025-09-21 05:12:16.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,2,83,0.8473,0.8377,192.14,experiment_log_2025-09-21 05:15:29.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,3,79,0.8423,0.8463,192.16,experiment_log_2025-09-21 05:18:41.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,4,45,0.8410,0.8283,190.70,experiment_log_2025-09-21 05:21:51.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,5,5,74,0.8494,0.8385,175.34,experiment_log_2025-09-21 05:24:47.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,1,90,0.8491,0.8415,187.61,experiment_log_2025-09-21 05:27:54.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,2,51,0.8453,0.8456,142.15,experiment_log_2025-09-21 05:30:17.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,3,97,0.8476,0.8408,142.62,experiment_log_2025-09-21 05:32:39.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,4,99,0.8445,0.8281,179.54,experiment_log_2025-09-21 05:35:39.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,False,10,5,72,0.8331,0.8332,190.72,experiment_log_2025-09-21 05:38:49.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,1,82,0.7560,0.7390,195.83,experiment_log_2025-09-21 05:42:05.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,2,73,0.7740,0.7520,193.20,experiment_log_2025-09-21 05:45:18.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,3,95,0.8000,0.7790,145.41,experiment_log_2025-09-21 05:47:44.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,4,90,0.7500,0.7390,190.14,experiment_log_2025-09-21 05:50:54.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,5,5,22,0.7400,0.7350,192.51,experiment_log_2025-09-21 05:54:07.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,1,94,0.8100,0.7660,192.79,experiment_log_2025-09-21 05:57:19.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,2,37,0.8280,0.7700,193.38,experiment_log_2025-09-21 06:00:33.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,3,63,0.8180,0.7770,189.64,experiment_log_2025-09-21 06:03:42.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,4,40,0.8160,0.7800,190.64,experiment_log_2025-09-21 06:06:53.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Computers.GRACE.GAT.hyp_True.True.20250912-232538.pth,True,10,5,22,0.8220,0.7670,142.91,experiment_log_2025-09-21 06:09:16.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,1,75,0.8395,0.8398,183.54,experiment_log_2025-09-21 03:17:19.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,2,54,0.8397,0.8413,138.21,experiment_log_2025-09-21 03:19:37.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,3,45,0.8463,0.8410,147.47,experiment_log_2025-09-21 03:22:04.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,4,44,0.8336,0.8479,140.67,experiment_log_2025-09-21 03:24:25.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,5,5,79,0.8468,0.8319,184.13,experiment_log_2025-09-21 03:27:29.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,1,77,0.8435,0.8496,143.71,experiment_log_2025-09-21 03:29:53.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,2,69,0.8425,0.8392,139.72,experiment_log_2025-09-21 03:32:13.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,3,44,0.8412,0.8398,169.36,experiment_log_2025-09-21 03:35:02.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,4,99,0.8392,0.8296,147.57,experiment_log_2025-09-21 03:37:30.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,False,10,5,91,0.8445,0.8360,140.10,experiment_log_2025-09-21 03:39:50.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,1,78,0.7820,0.7700,139.82,experiment_log_2025-09-21 03:42:09.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,2,57,0.7480,0.7410,137.33,experiment_log_2025-09-21 03:44:27.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,3,70,0.7640,0.7640,140.84,experiment_log_2025-09-21 03:46:48.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,4,28,0.7380,0.7350,139.07,experiment_log_2025-09-21 03:49:07.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,5,5,56,0.7500,0.7430,139.02,experiment_log_2025-09-21 03:51:26.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,1,27,0.8040,0.7630,140.54,experiment_log_2025-09-21 03:53:46.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,2,54,0.8100,0.7630,138.74,experiment_log_2025-09-21 03:56:05.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,3,37,0.8240,0.7630,139.28,experiment_log_2025-09-21 03:58:24.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,4,50,0.8240,0.7720,142.08,experiment_log_2025-09-21 04:00:46.txt
PubMed,/mnt/data1/Graph/HypGraphLoRA/pre_trained_gnn/Photo.GRACE.GAT.hyp_True.True.20250912-232537.pth,True,10,5,47,0.8280,0.7630,151.75,experiment_log_2025-09-21 04:03:18.txt
