row_label,src_dataset,test_dataset,few_label,run_idx,test_acc,val_acc,duration_sec,gpu_id,stdout_path,stderr_path,meta_path
HGL-Com,Computers,Computers,Public,4,0.8939,0.9,534.99724650383,3,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run4.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run4.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run4.meta.json
HGL-Com,Computers,Computers,Public,5,0.8855,0.8953,548.1232919692993,4,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run5.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run5.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run5.meta.json
HGL-Com,Computers,Computers,Public,2,0.8909,0.8884,558.8786628246307,1,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run2.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run2.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run2.meta.json
HGL-Com,Computers,Computers,Public,3,0.8989,0.8811,617.1017117500305,2,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run3.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run3.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run3.meta.json
HGL-Com,Computers,Computers,Public,1,0.8793,0.8949,628.5934426784515,0,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run1.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run1.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__public__run1.meta.json
HGL-Com,Computers,Computers,5shot,4,0.7536,0.7544,615.8371574878693,3,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run4.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run4.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run4.meta.json
HGL-Com,Computers,Computers,5shot,2,0.7241,0.731,620.5987215042114,1,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run2.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run2.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run2.meta.json
HGL-Com,Computers,Computers,5shot,5,0.7242,0.7259,647.5536396503448,4,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run5.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run5.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run5.meta.json
HGL-Com,Computers,Computers,5shot,3,0.7711,0.7755,613.681259393692,2,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run3.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run3.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run3.meta.json
HGL-Com,Computers,Computers,5shot,1,0.7468,0.7551,610.4320499897003,0,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run1.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run1.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-5shot__run1.meta.json
HGL-Com,Computers,Computers,10shot,1,0.7517,0.7623,523.5243721008301,0,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run1.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run1.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run1.meta.json
HGL-Com,Computers,Computers,10shot,4,0.7591,0.7758,618.2123672962189,3,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run4.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run4.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run4.meta.json
HGL-Com,Computers,Computers,10shot,2,0.7497,0.7692,618.9756941795349,1,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run2.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run2.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run2.meta.json
HGL-Com,Computers,Computers,10shot,3,0.7657,0.7663,576.1627435684204,2,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run3.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run3.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run3.meta.json
HGL-Com,Computers,Computers,10shot,5,0.7745,0.774,648.8402094841003,4,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run5.stdout.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run5.stderr.txt,./experiments/20250922-013554/logs/HGL-Com/Computers/HGL-Com__test-Computers__few-10shot__run5.meta.json
